,marla,area_sqft,floor_number,total_floors,bedrooms,bathrooms,kitchens,servant_quarters,store_rooms,society,luxury_score,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,price_per_sqft,price,agePossession
422,10.1,2749.725,1.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 10,137,1,1,1,1,1,1,1,1,1,0,14910.581967287639,4.1,New Property
423,13.0,3539.25,,10.0,4.0,4.0,1.0,,1.0,Askari 10,114,1,1,1,1,1,1,1,1,0,0,12714.558169103624,4.5,Undefined
424,10.0,2722.5,,10.0,1.0,1.0,1.0,1.0,1.0,Askari 10,132,1,1,1,1,1,1,1,1,1,0,16528.92561983471,4.5,Undefined
425,12.0,3267.0,,,1.0,1.0,1.0,1.0,1.0,Askari 11,106,1,1,0,0,1,1,0,0,0,1,11019.283746556473,3.6,Undefined
426,12.0,3267.0,,,1.0,1.0,1.0,1.0,1.0,Askari 11,129,1,1,1,1,1,1,1,1,1,1,12549.739822467096,4.1,Undefined
427,10.0,2722.5,7.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 10,106,1,1,1,1,0,0,1,0,0,0,11937.557392102846,3.25,New Property
428,10.0,2722.5,1.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,137,1,1,1,1,1,1,1,1,1,0,11386.593204775023,3.1,Relatively New
429,14.0,3811.5,2.0,8.0,4.0,4.0,1.0,1.0,1.0,Askari 10,57,1,1,1,0,0,0,0,0,0,0,14298.832480650663,5.45,New Property
430,10.0,2722.5,3.0,6.0,3.0,4.0,1.0,1.0,1.0,Askari 11,132,1,1,1,1,1,1,1,1,1,1,15610.651974288337,4.25,Undefined
431,10.0,2722.5,1.0,14.0,3.0,4.0,2.0,1.0,1.0,Askari 11,71,1,1,0,1,0,0,0,1,0,1,10101.0101010101,2.75,Relatively New
432,13.0,3539.25,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 10,124,1,1,0,1,0,1,1,0,0,0,12658.049021685385,4.48,New Property
433,13.0,3539.25,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 10,124,1,1,0,1,0,1,1,0,0,0,12432.012432012432,4.4,New Property
434,13.0,3539.25,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 10,124,1,1,0,1,0,1,1,0,0,0,12516.77615313979,4.43,New Property
435,13.0,3539.25,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 10,124,1,1,0,1,0,1,1,0,0,0,12714.558169103624,4.5,New Property
436,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,120,1,1,1,1,0,1,1,0,0,1,9366.391184573004,2.55,Relatively New
437,13.0,3539.25,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 10,124,1,1,0,1,0,1,1,0,0,0,12573.285300558027,4.45,New Property
438,11.9,3239.775,10.0,10.0,1.0,1.0,1.0,1.0,1.0,Askari 11,61,1,0,0,1,1,1,1,0,0,0,9877.229128566027,3.2,Undefined
439,10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,122,1,1,1,1,1,1,1,1,1,0,10578.512396694216,2.88,Undefined
440,10.0,2722.5,6.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,133,1,1,1,1,1,1,1,1,1,1,14876.03305785124,4.05,New Property
441,10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,137,1,1,1,1,1,1,1,1,1,1,10651.974288337924,2.9,New Property
442,10.0,2722.5,7.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,120,1,1,1,0,1,1,1,1,1,0,12194.67401285583,3.32,Undefined
443,10.0,2722.5,18.0,30.0,3.0,3.0,1.0,1.0,1.0,Askari 11,134,1,1,1,1,1,1,1,1,1,1,9366.391184573004,2.55,New Property
444,10.0,2722.5,6.0,8.0,3.0,4.0,1.0,2.0,1.0,Askari 11,121,1,1,1,1,1,1,1,1,1,1,15059.687786960514,4.1,Undefined
445,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,50,1,1,0,1,1,1,1,1,1,0,14876.03305785124,4.05,Undefined
446,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,23,1,1,0,0,0,0,1,0,0,0,12304.866850321396,3.35,Undefined
447,11.0,2994.75,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,134,1,1,1,1,1,1,1,1,1,0,10518.407212622089,3.15,Relatively New
448,11.0,2994.75,3.0,9.0,3.0,4.0,1.0,1.0,1.0,Askari 11,30,1,1,1,1,1,0,0,0,1,0,10351.448367977293,3.1,New Property
449,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,139,1,1,1,1,1,1,1,1,1,1,9366.391184573004,2.55,New Property
450,10.0,2722.5,,,4.0,5.0,1.0,1.0,1.0,Askari 11,110,1,1,1,1,1,1,1,1,1,1,18365.472910927456,5.0,New Property
451,11.1,3021.975,1.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,137,1,1,0,1,1,1,1,1,0,1,10853.829035647217,3.28,New Property
452,10.0,2722.5,4.0,9.0,3.0,3.0,1.0,1.0,1.0,Askari,75,1,1,1,0,1,1,1,1,1,1,14141.414141414141,3.85,New Property
453,10.0,2722.5,5.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari,109,1,1,1,1,1,1,1,1,1,1,13774.104683195592,3.75,New Property
454,10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,104,1,1,1,1,1,1,1,1,0,0,10541.78145087236,2.87,Undefined
455,10.0,2722.5,5.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,112,1,1,1,0,1,1,1,1,1,1,12121.212121212122,3.3,Undefined
456,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,106,1,1,1,1,1,1,1,1,1,1,16528.92561983471,4.5,New Property
457,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,94,1,1,1,1,1,1,1,1,1,0,14508.72359963269,3.95,Undefined
458,12.0,3267.0,,,,,,,,Askari 10,44,1,1,1,1,1,1,0,0,0,0,14080.195898377717,4.6,Undefined
459,11.7,3185.325,1.0,4.0,3.0,3.0,1.0,1.0,1.0,Askari 10,136,1,1,1,1,1,1,1,1,1,1,18585.230706442828,5.92,New Property
460,10.0,2722.5,8.0,9.0,3.0,4.0,2.0,1.0,1.0,Askari 11,130,1,1,1,1,1,1,1,1,1,1,15610.651974288337,4.25,New Property
461,10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari 11,129,1,1,1,1,1,1,1,1,1,0,8815.426997245178,2.4,Relatively New
462,10.0,2722.5,4.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,111,1,1,1,1,1,1,1,1,1,1,14325.068870523415,3.9,New Property
463,12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 11,123,1,1,1,1,0,0,1,1,0,1,10560.146923783288,3.45,New Property
464,12.0,3267.0,,,4.0,4.0,1.0,1.0,1.0,Askari 11,106,1,1,1,1,1,1,1,1,0,1,10713.19253137435,3.5,Relatively New
465,10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari 11,123,1,1,1,1,1,1,1,1,1,1,12855.831037649219,3.5,New Property
466,12.0,3267.0,,,4.0,4.0,1.0,1.0,1.0,Askari 11,133,1,1,1,1,1,1,1,1,1,1,10713.19253137435,3.5,Undefined
467,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,122,1,1,1,1,1,1,1,1,1,1,10284.664830119376,2.8,Relatively New
468,10.0,2722.5,1.0,2.0,3.0,3.0,1.0,1.0,1.0,Askari,126,1,1,1,1,1,1,1,1,1,1,9917.355371900827,2.7,Old Property
469,12.0,3267.0,1.0,8.0,4.0,5.0,1.0,1.0,1.0,Askari 10,109,1,1,1,1,0,0,1,0,1,0,16988.062442607898,5.55,New Property
470,10.0,2722.5,,,3.0,3.0,1.0,,,Askari 10,106,0,0,1,0,0,0,0,0,0,0,12855.831037649219,3.5,New Property
471,10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari 11,126,1,1,1,1,1,1,1,1,1,0,9733.700642791551,2.65,New Property
472,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,67,1,1,1,1,1,1,1,1,1,0,10101.0101010101,2.75,Relatively New
473,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,139,1,1,1,1,1,1,1,0,1,1,9550.045913682277,2.6,New Property
474,10.0,2722.5,6.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,115,1,1,1,1,1,1,1,1,1,1,12194.67401285583,3.32,Undefined
475,10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,116,1,1,1,0,1,1,1,1,1,0,14876.03305785124,4.05,Undefined
476,10.0,2722.5,6.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,133,1,1,1,1,1,1,1,1,1,1,14949.494949494949,4.07,Relatively New
477,11.0,2994.75,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,124,1,1,1,1,0,1,1,0,0,0,11854.077969780448,3.55,New Property
478,5.0,1361.25,4.0,6.0,1.0,1.0,1.0,1.0,4.0,Askari 11,140,1,1,1,1,1,1,1,1,1,1,18365.472910927456,2.5,New Property
479,11.1,3021.975,7.0,9.0,3.0,4.0,1.0,1.0,1.0,Askari 11,140,1,1,1,1,1,1,1,1,1,1,10920.01092001092,3.3,New Property
480,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,102,1,1,1,1,1,1,0,1,1,0,10468.31955922865,2.85,New Property
482,12.0,3267.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 11,113,1,1,0,1,0,1,1,0,0,0,11325.374961738598,3.7,Undefined
485,12.0,3267.0,,,3.0,4.0,1.0,1.0,1.0,Askari 10,110,1,1,1,1,1,1,1,1,1,1,13314.967860422406,4.35,New Property
486,12.0,3267.0,,9.0,,,,,,Askari 10,32,0,0,0,0,0,0,0,0,0,0,14539.332721150902,4.75,New Property
487,10.0,2722.5,6.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 10,109,1,1,1,1,0,0,1,0,0,0,12966.023875114784,3.53,New Property
488,12.9,3512.025,,,,,,,,Askari 10,41,0,0,0,0,0,0,0,0,0,0,7260.7683601341105,2.55,Undefined
489,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,57,1,1,1,1,1,1,1,1,1,0,15243.342516069788,4.15,New Property
490,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,57,1,1,1,1,1,1,1,1,1,0,14325.068870523415,3.9,New Property
491,10.0,2722.5,2.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,132,1,1,1,1,1,1,1,1,1,0,10835.6290174472,2.95,New Property
492,10.0,2722.5,,,3.0,3.0,2.0,1.0,1.0,Askari 11,53,1,1,1,1,1,1,1,1,1,0,14692.378328741965,4.0,Relatively New
493,10.0,2722.5,,,3.0,3.0,2.0,1.0,1.0,Askari 11,110,1,1,1,1,1,1,1,1,1,0,15059.687786960514,4.1,Relatively New
494,10.0,2722.5,,,3.0,3.0,2.0,1.0,1.0,Askari 11,107,1,1,1,1,1,1,1,1,1,1,15243.342516069788,4.15,New Property
495,10.0,2722.5,,,3.0,3.0,2.0,1.0,1.0,Askari 11,110,1,1,1,1,1,1,1,1,1,1,15610.651974288337,4.25,Relatively New
496,10.0,2722.5,5.0,8.0,3.0,3.0,2.0,1.0,1.0,Askari 11,140,1,1,1,1,1,1,1,1,1,0,15794.306703397613,4.3,Relatively New
497,10.0,2722.5,,,3.0,3.0,2.0,,,Askari 11,24,1,1,1,0,0,0,0,0,0,0,15794.306703397613,4.3,Undefined
498,10.0,2722.5,,,3.0,3.0,2.0,1.0,1.0,Askari 11,107,1,1,1,1,1,1,1,1,1,1,10027.54820936639,2.73,New Property
499,10.0,2722.5,3.0,7.0,3.0,3.0,1.0,1.0,1.0,Askari 11,127,1,1,1,1,1,1,1,1,1,0,10284.664830119376,2.8,Relatively New
500,10.0,2722.5,7.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,104,1,1,1,1,0,0,1,0,0,0,12855.831037649219,3.5,New Property
501,10.0,2722.5,7.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,102,1,1,1,1,0,0,1,0,0,0,12855.831037649219,3.5,New Property
502,10.0,2722.5,1.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,120,1,1,1,1,0,0,1,1,0,0,14692.378328741965,4.0,New Property
503,10.0,2722.5,6.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,136,1,1,1,1,1,1,1,1,1,0,12855.831037649219,3.5,New Property
504,10.0,2722.5,7.0,9.0,3.0,4.0,1.0,1.0,1.0,Askari 10,109,1,1,1,1,1,1,1,1,0,0,11974.288337924701,3.26,Relatively New
505,10.0,2722.5,2.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,137,1,1,1,1,1,1,1,1,1,1,11386.593204775023,3.1,New Property
506,10.0,2722.5,6.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,120,1,1,1,1,1,1,1,1,1,0,11570.247933884297,3.15,New Property
507,10.0,2722.5,3.0,7.0,3.0,3.0,1.0,1.0,1.0,Askari 11,102,1,1,1,1,0,0,1,0,0,0,10468.31955922865,2.85,Relatively New
508,10.0,2722.5,4.0,7.0,3.0,3.0,1.0,1.0,1.0,Askari 11,104,1,1,1,1,0,0,1,0,0,0,10468.31955922865,2.85,Relatively New
509,10.0,2722.5,7.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,104,1,1,1,1,0,0,1,0,0,1,12855.831037649219,3.5,New Property
510,10.0,2722.5,7.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,104,1,1,1,1,0,0,1,0,0,0,12672.176308539945,3.45,New Property
511,10.0,2722.5,3.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,110,1,1,1,1,0,0,1,0,0,0,11386.593204775023,3.1,New Property
512,10.0,2722.5,6.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 10,109,1,1,1,1,0,0,1,0,0,0,13039.485766758495,3.55,New Property
513,10.0,2722.5,10.0,,3.0,4.0,1.0,1.0,1.0,Askari 11,125,1,1,1,1,1,1,1,1,1,1,10284.664830119376,2.8,Relatively New
514,12.0,3267.0,,,3.0,1.0,1.0,1.0,1.0,Askari 11,119,1,1,1,1,1,1,1,1,1,1,10713.19253137435,3.5,Relatively New
515,10.0,2722.5,6.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,118,1,1,1,0,1,1,1,1,1,0,14986.225895316804,4.08,Undefined
516,12.0,3267.0,,7.0,1.0,1.0,1.0,,1.0,Askari 11,140,1,1,1,1,1,1,1,1,1,0,9488.827670645853,3.1,Relatively New
517,11.0,2994.75,8.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,52,1,1,0,0,1,0,0,0,0,0,11520.16028049086,3.45,Moderately Old
518,11.0,2994.75,1.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 10,109,1,1,1,1,0,0,1,0,0,0,14191.50179480758,4.25,New Property
519,11.2,3049.2,,,3.0,3.0,1.0,1.0,1.0,Askari 10,128,1,1,1,1,1,1,1,1,1,1,17348.812803358258,5.29,New Property
520,10.0,2722.5,4.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,97,1,1,1,1,0,0,1,0,0,0,11570.247933884297,3.15,New Property
521,10.0,2722.5,5.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,117,1,1,1,1,1,1,1,1,0,0,11386.593204775023,3.1,New Property
522,10.0,2722.5,,8.0,3.0,3.0,1.0,1.0,1.0,Askari 10,97,1,1,1,0,1,1,1,0,1,0,16051.423324150597,4.37,New Property
523,10.0,2722.5,3.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,104,1,1,1,1,0,0,1,0,0,0,14876.03305785124,4.05,New Property
524,10.0,2722.5,4.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,127,1,1,1,1,1,1,1,1,1,0,15059.687786960514,4.1,New Property
525,11.0,2994.75,1.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 10,117,1,1,1,1,1,1,1,0,1,1,14525.41948409717,4.35,New Property
526,10.0,2722.5,6.0,7.0,3.0,3.0,1.0,1.0,1.0,Askari 10,117,1,1,1,1,0,0,1,0,0,0,12855.831037649219,3.5,Relatively New
527,12.0,3267.0,,9.0,4.0,4.0,1.0,1.0,1.0,Askari 10,104,1,1,1,1,0,0,1,0,0,0,14386.287113559842,4.7,New Property
528,12.0,3267.0,8.0,9.0,4.0,4.0,1.0,1.0,1.0,Askari 10,123,1,1,1,1,1,1,1,1,1,1,13774.104683195592,4.5,New Property
529,10.0,2722.5,,,,,,,,Askari 10,0,0,0,0,0,0,0,0,0,0,0,11937.557392102846,3.25,Undefined
530,10.9,2967.525,,20.0,3.0,5.0,1.0,1.0,1.0,Askari 11,112,1,1,1,1,1,1,1,0,0,1,13681.434865755133,4.06,Old Property
531,10.0,2722.5,5.0,7.0,3.0,3.0,1.0,1.0,1.0,Askari 11,116,1,1,1,1,0,0,1,0,0,0,10284.664830119376,2.8,Relatively New
532,10.0,2722.5,,8.0,5.0,4.0,1.0,1.0,1.0,Askari 11,121,1,1,0,0,1,1,0,0,0,1,8999.081726354454,2.45,Relatively New
533,10.0,2722.5,,8.0,2.0,3.0,1.0,1.0,1.0,Askari 11,140,1,1,1,1,1,1,1,1,1,0,10101.0101010101,2.75,Relatively New
534,10.0,2722.5,,8.0,3.0,3.0,2.0,1.0,1.0,Askari 11,140,1,1,1,1,1,1,1,1,1,1,9733.700642791551,2.65,New Property
535,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,139,1,1,1,1,1,1,1,1,1,1,9182.736455463728,2.5,New Property
536,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,139,1,1,1,1,1,1,1,1,1,1,9550.045913682277,2.6,New Property
537,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,140,1,1,1,1,1,1,1,1,1,1,9733.700642791551,2.65,New Property
538,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,139,1,1,1,1,1,1,1,1,1,1,9917.355371900827,2.7,New Property
539,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,129,1,1,1,1,1,1,1,0,0,0,10284.664830119376,2.8,New Property
540,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,139,1,1,1,1,1,1,1,1,1,1,10468.31955922865,2.85,New Property
541,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,139,1,1,1,1,1,1,1,1,1,1,10651.974288337924,2.9,New Property
542,12.0,3267.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 11,139,1,1,1,1,1,1,1,1,1,1,10254.055708601163,3.35,New Property
543,12.0,3267.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 11,140,1,1,1,1,1,1,1,1,1,1,10560.146923783288,3.45,New Property
544,12.0,3267.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 11,139,1,1,1,1,1,1,1,1,1,1,10713.19253137435,3.5,New Property
545,12.0,3267.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 11,140,1,1,1,1,1,1,1,1,1,1,13468.013468013469,4.4,New Property
546,12.0,3267.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 11,139,1,1,1,1,1,1,1,1,1,1,13927.150290786654,4.55,Moderately Old
547,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,140,1,1,1,1,1,1,1,1,1,1,12121.212121212122,3.3,Old Property
548,12.0,3267.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 11,140,1,1,1,1,1,1,1,1,1,0,13774.104683195592,4.5,New Property
549,12.0,3267.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 11,140,1,1,1,1,1,1,1,1,1,0,13008.876645240282,4.25,New Property
550,12.0,3267.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 11,139,1,1,1,1,1,1,1,1,1,1,12549.739822467096,4.1,New Property
551,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,124,1,1,1,1,1,1,1,1,0,1,14325.068870523415,3.9,Relatively New
552,12.0,3267.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 10,140,1,1,1,1,1,1,1,1,1,1,14080.195898377717,4.6,Relatively New
553,12.0,3267.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 10,140,1,1,1,1,1,1,1,1,1,1,14692.378328741965,4.8,Old Property
554,12.0,3267.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 10,122,1,1,1,1,1,1,1,1,0,1,15610.651974288337,5.1,Undefined
555,10.0,2722.5,3.0,7.0,3.0,3.0,1.0,1.0,1.0,Askari 11,136,1,1,1,1,1,1,1,1,1,0,10284.664830119376,2.8,Relatively New
557,10.0,2722.5,3.0,7.0,3.0,3.0,1.0,1.0,1.0,Askari 11,137,1,1,1,1,1,1,1,1,1,0,11019.283746556473,3.0,Relatively New
558,10.0,2722.5,3.0,7.0,3.0,3.0,2.0,1.0,1.0,Askari 11,132,1,1,1,1,1,1,1,1,1,1,10027.54820936639,2.73,New Property
559,10.0,2722.5,,,3.0,3.0,2.0,,,Askari 11,45,1,1,1,0,0,0,0,0,0,0,10211.202938475666,2.78,Undefined
560,10.0,2722.5,4.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,121,1,1,1,1,0,0,1,0,0,0,15059.687786960514,4.1,New Property
562,10.0,2722.5,,,3.0,3.0,2.0,1.0,1.0,Askari 11,97,1,1,1,1,1,1,1,0,0,0,15794.306703397613,4.3,Relatively New
564,10.0,2722.5,,,3.0,3.0,2.0,1.0,1.0,Askari 11,73,1,1,1,0,0,0,1,0,0,0,15243.342516069788,4.15,Undefined
565,10.0,2722.5,,,3.0,3.0,2.0,1.0,1.0,Askari 11,102,1,1,1,1,1,1,1,1,1,0,15059.687786960514,4.1,Relatively New
568,10.0,2722.5,,,2.0,3.0,1.0,,1.0,Askari,95,1,1,1,0,1,1,0,0,0,1,12488.52157943067,3.4,Relatively New
569,10.0,2722.5,,,5.0,6.0,2.0,2.0,1.0,Askari,108,1,1,1,1,1,1,1,1,1,1,13590.449954086318,3.7,Undefined
570,10.0,2722.5,,,3.0,3.0,1.0,,1.0,Askari,108,1,1,1,1,1,1,1,1,1,0,13590.449954086318,3.7,Undefined
571,10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari,110,1,1,1,1,1,1,1,1,1,1,12488.52157943067,3.4,Relatively New
572,10.0,2722.5,7.0,11.0,2.0,3.0,1.0,,1.0,Askari,114,1,1,1,0,1,1,0,0,0,1,16161.61616161616,4.4,Relatively New
573,10.0,2722.5,,,5.0,6.0,2.0,2.0,1.0,Askari,110,1,1,1,1,1,1,1,1,1,1,10101.0101010101,2.75,New Property
574,10.0,2722.5,4.0,,2.0,2.0,1.0,1.0,1.0,Askari,135,1,1,1,1,1,1,1,1,1,1,12488.52157943067,3.4,Relatively New
575,10.0,2722.5,4.0,13.0,2.0,2.0,1.0,1.0,1.0,Askari,140,1,1,1,1,1,1,1,1,1,1,13774.104683195592,3.75,New Property
576,10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari,110,1,1,1,1,1,1,1,1,1,1,16161.61616161616,4.4,New Property
577,10.0,2722.5,,,2.0,3.0,1.0,,1.0,Askari,94,1,1,1,1,1,1,0,0,0,0,16161.61616161616,4.4,Relatively New
578,10.0,2722.5,,,5.0,6.0,2.0,2.0,1.0,Askari,110,1,1,1,1,1,1,1,1,1,1,13774.104683195592,3.75,Relatively New
579,10.0,2722.5,,,2.0,3.0,1.0,,1.0,Askari,94,1,1,1,0,1,1,0,0,0,0,10101.0101010101,2.75,Relatively New
580,10.0,2722.5,,,5.0,5.0,2.0,1.0,1.0,Askari,100,1,1,1,1,1,1,1,0,0,1,10101.0101010101,2.75,New Property
581,10.0,2722.5,,,5.0,5.0,2.0,1.0,1.0,Askari,136,1,1,1,1,1,1,1,1,1,1,10101.0101010101,2.75,New Property
582,10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari,136,1,1,1,1,1,1,1,1,1,1,12488.52157943067,3.4,New Property
583,10.0,2722.5,,,2.0,3.0,1.0,,1.0,Askari,95,1,1,1,0,1,1,0,0,0,1,16161.61616161616,4.4,Relatively New
584,10.0,2722.5,,,2.0,3.0,1.0,1.0,1.0,Askari,110,1,1,1,1,1,1,1,1,1,1,16161.61616161616,4.4,Relatively New
585,10.0,2722.5,,,5.0,6.0,2.0,2.0,1.0,Askari,68,1,1,1,0,0,0,0,0,0,0,12488.52157943067,3.4,Undefined
586,10.0,2722.5,,,5.0,6.0,2.0,2.0,1.0,Askari,108,1,1,1,1,1,1,1,1,1,1,10101.0101010101,2.75,Undefined
587,10.0,2722.5,,,5.0,6.0,2.0,2.0,1.0,Askari,108,1,1,1,1,1,1,1,1,1,1,13774.104683195592,3.75,Undefined
588,10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari,110,1,1,1,1,1,1,1,1,1,1,16161.61616161616,4.4,New Property
589,10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari,108,1,1,1,1,1,1,1,1,1,1,13590.449954086318,3.7,Undefined
590,10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari,108,1,1,1,1,1,1,1,1,1,1,12488.52157943067,3.4,Undefined
591,10.0,2722.5,,6.0,6.0,6.0,1.0,,,Askari,55,1,1,1,0,0,0,0,0,0,0,10101.0101010101,2.75,New Property
592,10.0,2722.5,,,5.0,6.0,2.0,2.0,1.0,Askari,68,1,1,1,0,0,0,0,0,0,0,13590.449954086318,3.7,Undefined
593,12.0,3267.0,,7.0,,,,,,Askari 11,22,0,0,0,0,0,0,0,0,0,0,10101.0101010101,3.3,Undefined
594,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari,132,1,1,1,1,1,1,1,1,1,0,10651.974288337924,2.9,Moderately Old
595,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari,132,1,1,1,1,1,1,1,1,1,0,10762.16712580349,2.93,New Property
596,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari,106,1,1,0,1,0,0,1,0,0,0,10468.31955922865,2.85,Undefined
597,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari,127,1,1,1,1,1,1,1,0,1,0,10578.512396694216,2.88,Moderately Old
598,10.0,2722.5,7.0,7.0,3.0,3.0,1.0,1.0,1.0,Askari 10,97,1,1,1,1,0,1,1,0,0,0,11753.902662993572,3.2,Relatively New
599,10.0,2722.5,,,6.0,8.0,2.0,1.0,2.0,Askari,92,1,1,1,1,1,1,1,0,0,1,12121.212121212122,3.3,Moderately Old
600,10.0,2722.5,,,2.0,2.0,1.0,,,Askari,88,1,1,1,1,1,1,1,0,1,0,16528.92561983471,4.5,New Property
601,10.0,2722.5,,,6.0,8.0,2.0,1.0,2.0,Askari,95,1,1,1,1,1,1,1,0,1,1,14692.378328741965,4.0,Moderately Old
