,marla,area_sqft,floor_number,total_floors,bedrooms,bathrooms,kitchens,servant_quarters,store_rooms,society,luxury_score,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,price_per_sqft,price,agePossession
39,10.0,2722.5,7.0,9.0,3.0,3.0,1.0,1.0,1.0,Askari 11,126,1,0,1,1,0,0,0,0,0,1,13590.449954086318,3.7,New Property
40,5.0,1361.25,,,2.0,2.0,1.0,,1.0,Askari 11,92,0,1,1,0,0,0,0,0,0,0,15426.997245179064,2.1,Undefined
41,18.0,4900.5,6.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,124,1,1,1,1,1,1,1,1,1,1,6836.037139067442,3.35,New Property
42,10.0,2722.5,6.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,137,1,1,1,1,1,1,1,1,1,1,14876.03305785124,4.05,New Property
43,10.0,2722.5,2.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,106,1,1,1,1,0,0,1,0,0,0,12855.831037649219,3.5,Under construction
44,12.0,3267.0,2.0,8.0,4.0,4.0,1.0,1.0,1.0,Askari 10,133,1,1,1,1,1,1,1,1,1,1,14080.195898377717,4.6,New Property
45,10.0,2722.5,,,3.0,3.0,1.0,,1.0,Askari 10,92,1,1,1,0,0,0,0,0,0,0,14325.068870523415,3.9,New Property
46,12.0,3267.0,,,4.0,4.0,1.0,,,Askari 10,101,0,1,1,0,0,0,0,0,0,0,13161.922252831344,4.3,New Property
47,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,131,1,1,1,1,1,1,1,1,1,0,11019.283746556473,3.0,Relatively New
48,11.0,2994.75,,,3.0,4.0,1.0,1.0,1.0,Askari 10,75,1,1,1,1,0,0,1,0,0,0,11186.24259120127,3.35,Undefined
49,6.0,1633.5,,,3.0,4.0,1.0,1.0,1.0,Askari 10,75,1,1,1,1,0,0,1,0,0,0,21426.3850627487,3.5,Undefined
50,10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari 10,75,1,1,1,1,0,0,0,0,0,0,16528.92561983471,4.5,Undefined
51,10.0,2722.5,,,3.0,3.0,1.0,1.0,1.0,Askari 10,75,1,1,1,1,0,0,1,0,0,0,15426.997245179064,4.2,Undefined
52,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,59,1,1,0,0,1,1,1,1,0,0,14325.068870523415,3.9,New Property
53,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,117,1,1,1,1,1,1,1,1,1,1,11937.557392102846,3.25,Relatively New
54,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,121,1,1,1,1,1,1,1,1,1,1,15059.687786960514,4.1,New Property
55,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,112,1,1,0,1,0,1,0,0,0,0,10101.0101010101,2.75,Relatively New
56,13.0,3539.25,1.0,1.0,4.0,5.0,2.0,1.0,1.0,Askari 10,139,1,1,1,1,1,1,1,1,1,1,12432.012432012432,4.4,New Property
57,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,134,1,1,1,1,0,1,0,0,0,1,9733.700642791551,2.65,New Property
58,12.0,3267.0,,10.0,5.0,6.0,2.0,1.0,2.0,Askari 10,119,1,1,1,1,1,1,1,1,1,1,13468.013468013469,4.4,New Property
59,11.9,3239.775,,10.0,3.0,3.0,1.0,1.0,1.0,Askari 11,126,1,1,1,1,1,1,1,1,1,1,8488.24378236143,2.75,Moderately Old
60,12.0,3267.0,,,4.0,4.0,1.0,,1.0,Askari 10,104,0,1,1,0,0,0,0,0,0,0,13468.013468013469,4.4,New Property
61,10.0,2722.5,,,3.0,3.0,1.0,,1.0,Askari 11,112,1,1,0,0,0,0,0,0,0,1,10468.31955922865,2.85,Undefined
62,12.0,3267.0,7.0,9.0,4.0,5.0,1.0,1.0,1.0,Askari 10,104,1,1,1,1,0,0,1,0,0,0,13651.668197122743,4.46,Under construction
63,11.2,3049.2,20.0,20.0,3.0,4.0,1.0,1.0,1.0,Askari 11,119,1,1,1,1,1,1,1,1,1,1,13675.718221172767,4.17,Under construction
64,10.0,2722.5,2.0,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,109,1,1,1,1,0,0,1,1,0,0,12672.176308539945,3.45,Under construction
65,10.0,2722.5,1.0,1.0,3.0,3.0,2.0,1.0,1.0,Askari 11,106,1,1,1,1,1,1,1,1,1,1,15059.687786960514,4.1,Relatively New
66,10.0,2722.5,2.0,8.0,3.0,3.0,1.0,1.0,1.0,Askari 11,125,1,1,1,1,1,1,1,1,1,1,10651.974288337924,2.9,New Property
67,12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 11,121,1,1,1,1,0,0,1,0,0,0,10651.974288337924,3.48,Relatively New
68,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,118,1,1,1,1,1,0,1,0,0,1,14508.72359963269,3.95,New Property
69,12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 10,121,1,1,1,1,1,1,1,1,1,1,12855.831037649219,4.2,Relatively New
70,12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 10,121,1,1,1,1,1,1,1,1,1,1,12243.648607284971,4.0,New Property
71,12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 10,75,1,1,1,1,0,0,1,0,0,0,12090.602999693909,3.95,Undefined
72,12.0,3267.0,,3.0,4.0,5.0,1.0,1.0,1.0,Askari 10,133,1,1,1,1,1,1,1,0,1,1,17294.153657790022,5.65,Old Property
73,12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 10,116,1,1,1,1,1,1,1,1,1,1,17294.153657790022,5.65,Undefined
74,12.0,3267.0,9.0,25.0,4.0,5.0,1.0,1.0,1.0,Askari 10,122,1,1,1,1,1,1,1,1,1,1,14998.46954392409,4.9,New Property
75,12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 10,86,1,1,1,1,0,0,1,0,0,0,13774.104683195592,4.5,New Property
76,12.0,3267.0,,,4.0,5.0,1.0,1.0,1.0,Askari 10,106,1,1,1,1,0,0,1,0,0,0,13774.104683195592,4.5,Undefined
77,12.0,3267.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,Askari 11,122,1,1,0,1,0,1,1,0,0,0,11019.283746556473,3.6,Undefined
78,10.0,2722.5,1.0,1.0,3.0,3.0,1.0,1.0,1.0,Askari 11,134,1,1,1,1,1,1,1,1,1,1,10468.31955922865,2.85,Relatively New
79,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,57,1,1,1,1,1,1,1,0,1,0,15243.342516069788,4.15,New Property
80,10.0,2722.5,,,3.0,4.0,1.0,1.0,1.0,Askari 11,130,1,1,1,1,1,1,1,1,1,1,14692.378328741965,4.0,New Property
81,10.0,2722.5,,8.0,3.0,4.0,1.0,1.0,1.0,Askari 11,89,1,1,0,0,1,1,1,1,1,0,10468.31955922865,2.85,Relatively New
82,10.0,2722.5,1.0,,1.0,1.0,1.0,1.0,1.0,Askari 10,126,1,1,1,1,1,1,0,1,1,1,14325.068870523415,3.9,Undefined
83,12.0,3267.0,,11.0,4.0,5.0,1.0,1.0,1.0,Askari 10,131,1,1,1,1,1,1,1,1,1,1,14692.378328741965,4.8,Undefined
84,10.0,2722.5,3.0,7.0,3.0,3.0,1.0,1.0,1.0,Askari 11,104,1,1,1,1,0,0,1,0,0,0,10284.664830119376,2.8,Relatively New
85,12.0,3267.0,6.0,9.0,4.0,5.0,1.0,1.0,1.0,Askari 10,119,1,1,1,1,1,1,1,1,1,1,13008.876645240282,4.25,New Property
86,12.9,3512.025,5.0,4.0,4.0,4.0,2.0,1.0,2.0,Askari 11,140,1,1,1,1,1,1,1,1,1,1,13240.224656715143,4.65,New Property
