bedrooms,baths,area_sqft,kitchens,store_rooms,gym,furnishing_score,agePossession,has_servant_room,floor_category,price
5.0,6.0,5445.02,2.0,3.0,1,25,1.0,1,1.0,7.35
5.0,7.0,5445.02,3.0,2.0,1,25,1.0,1,2.0,7.36
6.0,7.0,5445.02,3.0,1.0,1,25,1.0,1,2.0,9.25
3.0,5.0,1361.255,2.0,1.0,1,25,1.0,1,1.0,2.25
5.0,7.0,5445.02,2.0,2.0,0,25,1.0,1,1.0,6.9
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,0,1.0,7.85
7.0,7.0,10890.04,4.0,1.0,0,14,0.0,1,2.0,14.9
4.0,5.0,2722.51,2.0,1.0,1,25,1.0,1,1.0,5.49
4.0,6.0,2722.51,2.0,1.0,1,25,1.0,1,1.0,4.95
5.0,6.0,10890.04,2.0,2.0,1,25,1.0,1,1.0,14.75
5.0,7.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,11.75
6.0,7.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,8.35
5.0,7.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,7.25
7.0,7.0,10890.04,4.0,3.0,1,25,1.0,1,2.0,32.5
6.0,7.0,10890.04,4.0,3.0,1,25,1.0,1,2.0,28.5
4.0,5.0,2722.51,2.0,1.0,1,25,1.0,1,1.0,4.9
3.0,5.0,1361.255,2.0,1.0,1,25,1.0,1,1.0,2.7
3.0,4.0,1361.255,1.0,1.0,1,15,4.0,1,1.0,2.8
3.0,4.0,1361.255,2.0,1.0,1,14,4.0,1,1.0,2.85
5.0,6.0,2722.51,2.0,2.0,1,25,1.0,1,1.0,5.95
3.0,4.0,1361.255,2.0,1.0,1,15,4.0,1,1.0,2.7
5.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,12.0
3.0,4.0,1361.255,2.0,1.0,0,15,1.0,0,1.0,2.25
5.0,6.0,5445.02,3.0,2.0,0,15,1.0,1,1.0,7.47
6.0,7.0,5445.02,3.0,2.0,1,25,1.0,1,2.0,11.5
5.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,2.0,10.25
5.0,6.0,5445.02,3.0,1.0,1,25,1.0,1,1.0,7.75
3.0,4.0,1361.255,2.0,1.0,1,25,1.0,1,1.0,2.45
3.0,4.0,1361.255,1.0,1.0,1,15,1.0,1,1.0,3.5
5.0,6.0,5445.02,2.0,1.0,0,15,4.0,1,1.0,8.99
5.0,6.0,5445.02,2.0,1.0,0,15,4.0,1,1.0,9.8
3.0,4.0,1361.255,2.0,0.0,0,8,4.0,1,1.0,2.4
6.0,6.0,5445.02,3.0,1.0,1,25,1.0,1,1.0,8.99
4.0,5.0,2722.51,2.0,1.0,0,15,1.0,1,1.0,6.75
4.0,5.0,2722.51,2.0,1.0,1,15,1.0,1,1.0,5.5
4.0,5.0,1361.255,2.0,1.0,1,25,1.0,1,1.0,2.65
4.0,6.0,1361.255,2.0,1.0,1,25,1.0,1,1.0,2.15
3.0,4.0,1361.255,2.0,1.0,0,8,1.0,0,1.0,2.85
5.0,6.0,10890.04,3.0,2.0,1,25,1.0,1,1.0,41.5
5.0,6.0,5445.02,3.0,1.0,0,18,1.0,1,1.0,15.0
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,2.0,7.1
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,7.35
3.0,4.0,1361.255,2.0,1.0,1,15,4.0,1,1.0,2.85
3.0,4.0,1361.255,2.0,1.0,1,14,4.0,1,1.0,2.6
3.0,4.0,1361.255,2.0,1.0,1,14,4.0,1,1.0,2.55
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,8.25
6.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,9.1
7.0,7.0,10890.04,2.0,1.0,1,25,1.0,1,1.0,26.75
5.0,6.0,5445.02,3.0,2.0,0,22,3.0,1,2.0,10.5
6.0,6.0,5989.521999999999,3.0,2.0,1,25,1.0,1,2.0,18.9
5.0,7.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,7.25
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,1,2.0,10.75
6.0,7.0,10890.04,2.0,2.0,1,25,0.0,1,1.0,13.0
6.0,6.0,5445.02,2.0,1.0,0,25,1.0,1,1.0,7.5
6.0,6.0,5445.02,2.0,1.0,1,15,1.0,1,1.0,7.3
5.0,6.0,5445.02,2.0,1.0,0,14,4.0,0,1.0,15.0
5.0,6.0,5445.02,2.0,2.0,1,15,1.0,1,1.0,7.9
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,13.5
6.0,7.0,5445.02,2.0,1.0,1,15,1.0,1,1.0,17.5
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,2.0,7.75
4.0,5.0,2722.51,2.0,1.0,0,12,1.0,1,1.0,5.25
6.0,6.0,6534.023999999999,2.0,2.0,1,25,1.0,1,1.0,24.0
5.0,6.0,5445.02,3.0,1.0,0,25,1.0,1,1.0,8.25
3.0,4.0,1361.255,2.0,1.0,0,15,1.0,0,1.0,3.2
6.0,6.0,10890.04,4.0,1.0,1,25,1.0,1,2.0,15.5
6.0,7.0,10890.04,2.0,1.0,1,25,1.0,1,1.0,25.5
3.0,4.0,1361.255,1.0,1.0,1,24,1.0,1,1.0,2.18
5.0,6.0,5445.02,1.0,2.0,1,25,1.0,1,1.0,8.32
5.0,6.0,10890.04,2.0,2.0,1,25,1.0,1,1.0,11.75
5.0,6.0,5445.02,2.0,1.0,0,25,1.0,0,1.0,7.0
5.0,6.0,2722.51,2.0,2.0,1,15,1.0,1,1.0,5.75
4.0,5.0,2722.51,2.0,1.0,0,5,1.0,1,1.0,6.25
5.0,6.0,5445.02,2.0,1.0,1,15,1.0,1,1.0,7.45
5.0,6.0,5445.02,2.0,1.0,0,25,1.0,1,1.0,7.12
4.0,5.0,2722.51,2.0,2.0,1,25,1.0,1,1.0,5.35
5.0,6.0,5445.02,1.0,1.0,1,25,1.0,1,1.0,8.95
3.0,4.0,1361.255,1.0,1.0,1,15,4.0,1,1.0,2.45
4.0,5.0,2722.51,2.0,2.0,1,25,1.0,1,1.0,3.95
4.0,5.0,2722.51,2.0,2.0,1,25,1.0,1,1.0,4.85
5.0,6.0,5445.02,3.0,1.0,0,15,1.0,1,1.0,7.75
5.0,6.0,5445.02,1.0,1.0,1,25,1.0,1,2.0,8.75
5.0,6.0,5445.02,3.0,2.0,0,15,1.0,1,1.0,9.13
6.0,7.0,10890.04,2.0,1.0,0,11,0.0,0,1.0,14.5
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,0,1.0,6.25
5.0,6.0,5445.02,2.0,2.0,1,5,1.0,1,1.0,7.1
5.0,6.0,5445.02,3.0,2.0,1,25,0.0,1,1.0,7.4
5.0,6.0,10890.04,2.0,1.0,1,25,1.0,0,1.0,36.5
6.0,6.0,10890.04,2.0,1.0,1,25,1.0,1,2.0,34.0
5.0,6.0,5445.02,2.0,1.0,0,25,0.0,1,1.0,6.85
5.0,6.0,5445.02,2.0,1.0,1,24,1.0,1,1.0,9.0
6.0,7.0,10890.04,2.0,2.0,1,24,1.0,1,1.0,23.0
4.0,5.0,2178.008,2.0,1.0,1,15,1.0,1,1.0,4.1
3.0,4.0,1361.255,1.0,1.0,1,25,1.0,1,1.0,2.4
5.0,6.0,2722.51,3.0,2.0,1,25,3.0,1,2.0,4.45
4.0,5.0,2722.51,2.0,1.0,1,25,1.0,1,1.0,4.99
4.0,5.0,2722.51,2.0,1.0,1,25,1.0,1,1.0,6.99
6.0,7.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,8.75
6.0,7.0,10890.04,3.0,2.0,1,25,1.0,1,1.0,29.75
6.0,6.0,5445.02,3.0,3.0,1,25,1.0,1,2.0,8.55
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,6.75
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,1,1.0,7.15
6.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,2.0,8.42
5.0,6.0,5445.02,3.0,1.0,1,25,1.0,1,2.0,8.99
5.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,9.45
5.0,6.0,10890.04,2.0,1.0,0,15,1.0,1,1.0,11.5
6.0,7.0,5445.02,3.0,2.0,0,25,1.0,1,2.0,17.86
5.0,6.0,5445.02,2.0,1.0,0,24,1.0,0,2.0,8.99
6.0,6.0,5445.02,2.0,1.0,0,25,1.0,0,2.0,9.5
3.0,4.0,1361.255,2.0,1.0,0,24,4.0,0,1.0,2.7
6.0,6.0,6534.023999999999,2.0,1.0,0,0,4.0,0,1.0,12.0
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,2.0,9.2
5.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,9.25
5.0,6.0,5445.02,3.0,2.0,1,15,4.0,1,1.0,7.95
5.0,6.0,5445.02,1.0,1.0,1,25,1.0,1,2.0,15.75
5.0,6.0,5445.02,2.0,2.0,0,25,1.0,1,1.0,9.0
5.0,6.0,8712.032,2.0,1.0,1,25,4.0,0,1.0,9.35
3.0,4.0,1361.255,2.0,1.0,0,15,1.0,1,1.0,2.4
3.0,4.0,1361.255,2.0,1.0,0,15,1.0,0,1.0,2.25
5.0,6.0,2722.51,2.0,1.0,0,14,4.0,0,1.0,6.5
3.0,4.0,1361.255,2.0,1.0,1,15,1.0,0,1.0,2.5
5.0,6.0,5445.02,3.0,2.0,1,25,0.0,1,1.0,6.7
5.0,6.0,6534.023999999999,2.0,2.0,1,25,3.0,1,2.0,10.95
4.0,5.0,3267.012,2.0,2.0,1,25,1.0,1,1.0,5.95
4.0,5.0,2722.51,2.0,2.0,1,25,1.0,1,1.0,4.72
4.0,5.0,2722.51,2.0,2.0,1,25,1.0,1,1.0,4.5
4.0,5.0,2722.51,1.0,1.0,0,15,1.0,1,1.0,6.75
4.0,5.0,2722.51,2.0,2.0,1,25,1.0,1,1.0,4.85
4.0,5.0,2722.51,2.0,1.0,1,25,1.0,1,1.0,6.75
4.0,5.0,2722.51,2.0,1.0,0,15,1.0,1,1.0,4.75
5.0,6.0,1905.757,2.0,1.0,0,24,1.0,0,2.0,4.95
4.0,5.0,2722.51,2.0,1.0,0,24,1.0,0,2.0,5.25
6.0,7.0,10890.04,2.0,2.0,0,25,1.0,1,1.0,32.0
4.0,5.0,2722.51,2.0,1.0,1,25,1.0,0,1.0,6.75
5.0,7.0,5445.02,3.0,1.0,1,25,1.0,1,1.0,8.95
5.0,6.0,5445.02,2.0,1.0,1,25,4.0,0,1.0,6.81
4.0,4.0,1361.255,2.0,1.0,1,25,1.0,0,1.0,3.1
7.0,7.0,10890.04,2.0,1.0,0,24,1.0,0,2.0,39.5
4.0,5.0,2722.51,2.0,1.0,0,25,1.0,0,2.0,4.95
6.0,7.0,5445.02,2.0,1.0,0,24,1.0,0,2.0,23.9
5.0,6.0,5445.02,2.0,1.0,0,24,1.0,0,2.0,11.15
5.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,7.99
5.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,7.0
5.0,6.0,5445.02,2.0,1.0,0,25,1.0,1,1.0,12.25
6.0,7.0,5445.02,3.0,3.0,1,25,1.0,1,2.0,9.7
5.0,5.0,5445.02,2.0,2.0,0,3,1.0,1,1.0,12.25
5.0,6.0,5445.02,2.0,2.0,0,5,1.0,1,1.0,9.25
4.0,5.0,1361.255,2.0,2.0,1,25,1.0,1,1.0,2.15
4.0,5.0,2722.51,1.0,1.0,1,25,1.0,1,1.0,4.5
4.0,5.0,2722.51,2.0,2.0,1,25,1.0,1,1.0,5.25
4.0,5.0,2722.51,2.0,1.0,0,15,1.0,1,1.0,4.75
4.0,5.0,2722.51,2.0,1.0,0,15,1.0,1,1.0,5.45
6.0,6.0,5445.02,2.0,1.0,0,24,1.0,1,1.0,24.5
5.0,6.0,5445.02,2.0,1.0,0,15,1.0,0,1.0,8.25
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,0,1.0,7.25
6.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,2.0,9.1
5.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,9.55
5.0,6.0,5445.02,3.0,1.0,1,25,1.0,1,2.0,7.25
