bedrooms,baths,floors_in_building,area_sqft,servant_quarters,kitchens,store_rooms,drawing_room,furnishing_score,agePossession,luxury_category,floor_category,price
3.0,4.0,1.0,2992.0,1.0,2.0,1.0,1,39,1.0,3.0,1.0,2.95
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,39,3.0,2.0,1.0,2.9
4.0,5.0,8.0,3264.0,0.0,1.0,0.0,1,49,1.0,3.0,2.0,4.45
4.0,5.0,8.0,3536.0,1.0,1.0,1.0,1,49,3.0,3.0,1.0,4.25
4.0,5.0,9.0,3264.0,1.0,1.0,1.0,1,37,1.0,2.0,2.0,4.45
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,22,4.0,1.0,2.0,3.98
3.0,4.0,8.0,2992.0,0.0,2.0,0.0,1,47,4.0,1.0,2.0,3.0
3.0,4.0,8.0,2720.0,1.0,2.0,0.0,0,9,4.0,1.0,2.0,2.7
3.0,4.0,8.0,2720.0,1.0,2.0,0.0,1,49,1.0,2.0,2.0,2.6
4.0,5.0,8.0,3264.0,1.0,1.0,1.0,1,37,1.0,2.0,2.0,4.4
3.0,4.0,9.0,2992.0,1.0,1.0,1.0,1,49,3.0,3.0,2.0,3.25
3.0,4.0,8.0,2992.0,0.0,1.0,0.0,0,22,4.0,1.0,2.0,3.45
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,1.0,3.8
3.0,4.0,9.0,2720.0,1.0,1.0,1.0,1,49,1.0,3.0,2.0,3.55
4.0,5.0,7.0,3264.0,1.0,1.0,1.0,1,16,3.0,1.0,2.0,3.4
4.0,5.0,9.0,3264.0,1.0,1.0,1.0,1,24,1.0,2.0,2.0,4.6
3.0,3.0,8.0,2992.0,1.0,1.0,1.0,1,24,1.0,2.0,2.0,3.7
3.0,3.0,2.0,2720.0,1.0,1.0,1.0,1,49,2.0,0.0,1.0,2.35
4.0,4.0,3.0,3264.0,1.0,1.0,1.0,1,49,1.0,0.0,2.0,4.45
4.0,5.0,9.0,3264.0,1.0,1.0,1.0,1,24,1.0,1.0,2.0,4.5
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,1.0,3.8
4.0,4.0,21.0,3264.0,0.0,1.0,0.0,1,34,1.0,2.0,2.0,5.0
3.0,2.0,8.0,3046.4,0.0,1.0,0.0,0,0,4.0,1.0,2.0,5.3
3.0,4.0,8.0,2720.0,0.0,1.0,0.0,0,0,4.0,1.0,2.0,3.3
3.0,3.0,7.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,2.0,2.75
3.0,3.0,7.0,2720.0,1.0,1.0,1.0,1,39,3.0,2.0,2.0,2.59
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,18,1.0,2.0,1.0,2.9
4.0,6.0,8.0,3264.0,1.0,1.0,1.0,1,49,3.0,3.0,2.0,3.1
4.0,6.0,8.0,3264.0,1.0,1.0,0.0,1,39,3.0,0.0,2.0,3.35
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,49,1.0,0.0,2.0,3.5
3.0,4.0,8.0,2720.0,2.0,1.0,1.0,1,37,4.0,2.0,2.0,3.15
3.0,4.0,8.0,2992.0,2.0,2.0,1.0,1,49,1.0,3.0,1.0,3.17
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,49,0.0,3.0,1.0,2.78
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,39,4.0,0.0,1.0,2.8
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,39,4.0,0.0,2.0,3.75
3.0,4.0,8.0,2720.0,1.0,1.0,0.0,1,39,4.0,2.0,2.0,3.7
3.0,4.0,8.0,2720.0,2.0,1.0,1.0,1,39,4.0,0.0,1.0,4.0
4.0,5.0,8.0,3264.0,1.0,1.0,1.0,1,22,4.0,1.0,2.0,4.6
4.0,5.0,8.0,3264.0,1.0,2.0,2.0,1,39,1.0,2.0,2.0,4.75
3.0,3.0,8.0,3264.0,0.0,2.0,0.0,1,16,4.0,1.0,2.0,3.95
3.0,3.0,1.0,2720.0,1.0,1.0,1.0,1,39,1.0,0.0,1.0,3.2
3.0,3.0,4.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,1.0,3.83
3.0,3.0,1.0,2720.0,1.0,1.0,1.0,1,39,1.0,0.0,1.0,3.15
3.0,3.0,4.0,2720.0,1.0,1.0,1.0,1,39,3.0,0.0,1.0,3.88
4.0,5.0,1.0,3536.0,1.0,1.0,1.0,1,39,1.0,0.0,1.0,4.25
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,2.0,2.9
4.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,39,1.0,2.0,2.0,4.55
4.0,5.0,9.0,3264.0,1.0,1.0,1.0,1,47,1.0,2.0,2.0,4.3
3.0,4.0,8.0,2720.0,0.0,1.0,0.0,1,6,4.0,1.0,1.0,3.65
3.0,3.0,3.0,2720.0,1.0,1.0,1.0,1,49,2.0,3.0,1.0,2.75
3.0,3.0,7.0,2720.0,1.0,1.0,1.0,1,49,1.0,3.0,2.0,3.7
4.0,5.0,9.0,3536.0,1.0,1.0,1.0,1,49,1.0,3.0,2.0,4.75
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,39,3.0,3.0,2.0,2.45
4.0,5.0,8.0,3264.0,1.0,1.0,1.0,1,49,1.0,0.0,1.0,4.45
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,1.0,3.65
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,49,1.0,0.0,2.0,3.65
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,39,4.0,0.0,1.0,3.62
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,39,4.0,0.0,1.0,3.85
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,39,1.0,3.0,1.0,2.85
3.0,4.0,8.0,2720.0,0.0,1.0,0.0,0,0,4.0,1.0,2.0,2.87
3.0,4.0,8.0,2992.0,1.0,1.0,1.0,1,49,1.0,3.0,2.0,3.6
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,1.0,3.1
3.0,4.0,8.0,2992.0,0.0,1.0,0.0,1,6,4.0,1.0,1.0,3.4
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,22,4.0,1.0,2.0,4.25
4.0,5.0,8.0,3264.0,1.0,1.0,1.0,1,22,4.0,1.0,2.0,4.65
4.0,5.0,8.0,3264.0,1.0,1.0,1.0,1,22,4.0,1.0,2.0,5.45
4.0,5.0,8.0,3264.0,1.0,1.0,1.0,1,49,1.0,2.0,2.0,4.8
3.0,3.0,1.0,2720.0,1.0,1.0,1.0,1,39,1.0,3.0,1.0,3.18
3.0,3.0,4.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,1.0,3.85
3.0,3.0,4.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,1.0,3.8
4.0,5.0,1.0,3536.0,1.0,1.0,1.0,1,39,1.0,0.0,1.0,4.3
4.0,5.0,1.0,3536.0,1.0,1.0,1.0,1,39,1.0,0.0,1.0,4.28
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,22,4.0,1.0,2.0,3.8
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,22,4.0,1.0,2.0,4.25
3.0,3.0,3.0,2720.0,1.0,1.0,1.0,1,16,2.0,1.0,1.0,2.25
3.0,3.0,9.0,3019.2,1.0,1.0,1.0,1,49,3.0,0.0,2.0,3.15
4.0,5.0,9.0,3563.2,1.0,1.0,1.0,1,49,1.0,0.0,2.0,4.79
3.0,4.0,5.0,2720.0,2.0,2.0,0.0,1,49,1.0,3.0,2.0,3.45
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,18,1.0,2.0,1.0,2.95
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,2.0,3.1
3.0,3.0,7.0,2720.0,1.0,1.0,1.0,1,49,3.0,3.0,2.0,2.75
3.0,3.0,7.0,2720.0,1.0,1.0,1.0,1,13,3.0,1.0,2.0,2.85
4.0,5.0,9.0,3264.0,1.0,1.0,1.0,1,49,1.0,0.0,2.0,4.85
3.0,3.0,9.0,2720.0,1.0,1.0,1.0,1,39,1.0,0.0,1.0,4.5
3.0,4.0,9.0,2720.0,1.0,1.0,1.0,1,37,1.0,0.0,1.0,4.45
4.0,5.0,9.0,3264.0,1.0,1.0,1.0,1,37,1.0,2.0,1.0,4.9
4.0,5.0,9.0,3264.0,1.0,1.0,1.0,1,18,1.0,2.0,2.0,4.65
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,39,4.0,3.0,2.0,4.1
4.0,5.0,10.0,3536.0,1.0,2.0,2.0,1,49,3.0,0.0,2.0,4.7
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,27,1.0,2.0,1.0,2.85
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,18,1.0,2.0,2.0,2.9
3.0,3.0,7.0,2720.0,1.0,1.0,1.0,1,49,1.0,0.0,2.0,4.15
3.0,3.0,9.0,2720.0,1.0,1.0,1.0,1,49,1.0,0.0,2.0,4.15
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,18,1.0,2.0,1.0,2.85
4.0,4.0,8.0,3264.0,0.0,2.0,0.0,1,0,4.0,1.0,2.0,4.35
4.0,5.0,1.0,3264.0,1.0,1.0,1.0,1,49,1.0,3.0,1.0,4.25
3.0,4.0,9.0,2992.0,1.0,1.0,1.0,1,49,1.0,3.0,2.0,3.35
3.0,4.0,8.0,2992.0,1.0,1.0,1.0,1,49,1.0,3.0,2.0,3.1
3.0,4.0,8.0,2992.0,2.0,1.0,1.0,1,49,0.0,2.0,2.0,3.1
3.0,4.0,8.0,2720.0,1.0,2.0,0.0,1,49,1.0,2.0,2.0,2.5
3.0,3.0,1.0,2992.0,1.0,1.0,1.0,1,39,0.0,0.0,1.0,3.0
3.0,4.0,1.0,2992.0,1.0,1.0,1.0,1,39,3.0,3.0,1.0,3.15
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,49,4.0,2.0,2.0,2.75
3.0,4.0,10.0,3046.4,3.0,1.0,2.0,1,49,1.0,0.0,1.0,5.3
4.0,5.0,9.0,3536.0,1.0,1.0,1.0,1,49,1.0,0.0,2.0,5.22
4.0,5.0,9.0,3264.0,1.0,1.0,1.0,1,39,1.0,0.0,2.0,5.05
3.0,4.0,8.0,3264.0,1.0,1.0,1.0,1,39,3.0,2.0,2.0,4.35
4.0,5.0,9.0,3536.0,1.0,1.0,1.0,1,37,1.0,2.0,2.0,4.47
4.0,5.0,9.0,3536.0,1.0,1.0,1.0,1,37,1.0,2.0,2.0,4.75
4.0,5.0,9.0,3536.0,1.0,1.0,1.0,1,49,1.0,3.0,2.0,5.15
4.0,5.0,9.0,3672.0,1.0,1.0,1.0,1,39,1.0,0.0,1.0,5.05
3.0,4.0,9.0,2992.0,1.0,1.0,1.0,1,37,1.0,2.0,2.0,4.05
3.0,4.0,6.0,2883.2,1.0,1.0,1.0,1,49,1.0,3.0,2.0,3.5
3.0,3.0,1.0,2720.0,1.0,1.0,1.0,1,39,4.0,3.0,1.0,2.6
3.0,3.0,1.0,2720.0,1.0,1.0,1.0,1,39,1.0,3.0,1.0,2.45
