society,bedrooms,baths,link,floors_in_building,price,area,area_sqft,servant_quarters,kitchens,store_rooms,price_per_sqft,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,luxury_score,furnishing_score,floor,agePossession,lat,lon
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_super_hot_deal_12-marla_4-bedroom_flat_for_sale_in_askari-11_lahore-53973100-15703-1.html,7.0,3.35,12.0,3264.0,1.0,1.0,1.0,10263.480392156862,1,1,1,1,0,0,1,0,0,0,76.0,13,3.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_10-marla_3-bedroom_beautiful_apartment_available_for_sale_in_askari-11_lahore-53973082-15703-1.html,8.0,3.25,10.0,2720.0,1.0,1.0,1.0,11948.529411764706,1,1,1,1,0,0,0,0,0,0,86.0,22,3.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_5_3_bedroom_spacious_apartment_for_sale_-_reasonable_price-53496306-3559-1.html,8.0,1.8,10.0,2720.0,0.0,1.0,0.0,6617.64705882353,0,0,0,0,0,0,0,0,0,0,63.0,0,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,4.0,https://www.zameen.com/Property/askari_askari_10_4_bedroom_apartment_for_sale_-_reasonable_price-53492708-1011-1.html,8.0,2.55,12.9,3508.8,0.0,1.0,0.0,7267.4418604651155,0,0,0,0,0,0,0,0,0,0,42.0,0,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_11_superb_open_view_12_marla_4_bed_flat_on_5th_floor_for_sale_in_askari_11_lahore-53605524-1503-1.html,8.0,3.33,12.0,3264.0,0.0,1.0,1.0,10202.20588235294,1,1,1,1,0,0,1,0,0,1,115.0,37,3.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_f_3_bed_apartment_for_sale_in_askari_10_near_dha_phase_8-52349387-10542-1.html,4.0,5.92,11.7,3182.4,0.0,1.0,0.0,18602.31271995978,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_askari_11_luxury_3_bedroom_facing_park_for_sale_in_askari_11_lahore-53508024-1503-1.html,9.0,4.25,10.0,2720.0,0.0,2.0,0.0,15625.0,1,1,1,1,1,1,1,1,1,1,174.0,49,8.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_brand_new_apartment_for_sale_in_sector-b_askari-11-53710954-15702-1.html,8.0,4.2,12.0,3264.0,1.0,1.0,1.0,12867.64705882353,1,1,1,1,0,0,1,0,0,0,107.0,22,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_f_10_marla_3_bedroom_apartment_available_for_sale-52610577-10542-1.html,4.0,3.75,10.0,2720.0,2.0,2.0,4.0,13786.764705882351,1,1,1,1,1,1,1,1,1,1,179.0,49,3.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_13_marla_flat_in_central_askari_10_-_sector_s_for_sale-53903775-21434-1.html,1.0,4.25,13.0,3536.0,1.0,1.0,1.0,12019.23076923077,1,1,1,1,1,1,1,1,1,0,184.0,39,1.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_11_highly-coveted_10_marla_flat_is_available_in_askari_11_for_sale-53904526-1503-1.html,1.0,3.15,10.0,2720.0,1.0,1.0,1.0,11580.882352941177,1,1,1,1,1,1,1,1,1,0,184.0,39,1.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_12_marla_brand_new_apartment_available_for_sale-53357214-1011-1.html,8.0,4.5,12.0,3264.0,0.0,1.0,0.0,13786.764705882351,0,0,0,0,0,0,0,0,0,0,17.0,0,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,4.0,https://www.zameen.com/Property/askari_askari_11_4_beds_12_marla_ideal_location_apartment_for_sale_in_sector_b_askari_11_lahore-52544422-1503-1.html,7.0,4.0,12.0,3264.0,0.0,1.0,1.0,12254.901960784313,1,1,1,1,1,1,1,1,1,0,184.0,49,3.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_f_10_marla_apartment_for_sale_in_sector_f_askari_10_lahore-53304711-10542-1.html,5.0,3.65,10.0,2720.0,0.0,2.0,1.0,13419.117647058823,1,1,1,1,1,1,1,1,1,1,184.0,49,3.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_askari_2_3_bedroom_luxurious_apartment_in_prime_askari_2_in_minimum_rate-53869032-3557-1.html,8.0,3.8,10.6,2883.2,0.0,2.0,0.0,13179.800221975584,1,1,1,0,0,0,0,0,0,0,107.0,37,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_askari_11_3_bed_room_apartments_for_sale_in_askari_11_lahore-53879991-1503-1.html,8.0,2.86,10.0,2720.0,1.0,1.0,1.0,10514.70588235294,1,1,1,1,1,1,1,1,1,0,164.0,39,2.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_f_3_bed_apartment_for_sale_in_askari_10_lahore-50069788-10542-1.html,8.0,3.25,10.0,2720.0,1.0,1.0,1.0,11948.529411764706,1,1,1,1,1,1,1,1,1,1,174.0,49,2.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_f_beautiful_apartment_3_bed_7th_floor_open_view_neat_and_clean_well_maintaine_near_market_and_park_avlialab_for_sale_in_askari_10_sector_f-53920962-10542-1.html,7.0,3.35,10.0,2720.0,1.0,1.0,1.0,12316.176470588236,1,1,1,1,1,1,1,1,1,0,154.0,39,8.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_10_marla_3_bedroom_apartment_available_for_sale_in_askari_10_sector_s_lahore_cantt-53883642-21434-1.html,8.0,3.85,10.0,2720.0,1.0,1.0,1.0,14154.411764705885,1,1,1,1,1,1,1,1,1,1,165.0,49,3.0,New Property,31.465334,74.3801628
