society,bedrooms,baths,link,floors_in_building,price,area,area_sqft,servant_quarters,kitchens,store_rooms,price_per_sqft,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,luxury_score,furnishing_score,floor,agePossession,lat,lon
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_5_affordable_flat_for_sale_in_askari_5-53846696-3559-1.html,8.0,2.85,10.0,2720.0,2.0,2.0,2.0,10477.941176470587,1,1,1,1,1,1,1,1,1,1,147.0,49,3.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_5_this_is_your_chance_to_buy_flat_in_askari_5-53846715-3559-1.html,8.0,2.85,10.0,2720.0,0.0,1.0,0.0,10477.941176470587,1,1,1,0,0,0,0,0,0,0,17.0,6,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_5_become_owner_of_your_flat_today_which_is_centrally_located_in_askari_5_in_lahore-53846713-3559-1.html,8.0,2.75,10.0,2720.0,3.0,3.0,3.0,10110.29411764706,1,1,1,1,1,1,1,1,1,1,147.0,49,3.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_5_buy_a_flat_of_10_marla_in_askari_5-53846712-3559-1.html,8.0,3.4,10.0,2720.0,0.0,1.0,0.0,12500.0,1,1,1,0,0,0,0,0,0,0,17.0,6,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_this_is_a_brand_new_4_bedroom_apartment_in_sector_s_askari_10-53855787-21434-1.html,10.0,4.6,12.2,3318.4,1.0,1.0,1.0,13862.102217936355,1,1,1,1,1,1,1,1,1,1,166.0,49,5.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_flat_for_sale-53366158-15703-1.html,7.0,3.3,12.0,3264.0,0.0,1.0,0.0,10110.29411764706,0,0,0,0,0,0,0,0,0,0,46.0,13,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_12_marla_flat_in_askari_of_lahore_is_available_for_sale-53836186-21434-1.html,8.0,4.35,12.0,3264.0,1.0,2.0,0.0,13327.20588235294,1,1,1,1,1,1,1,1,1,1,147.0,49,3.0,Relatively New,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_this_is_a_brand_new_4-bedroom_apartment_in_sec_s_askari_10-53836180-21434-1.html,8.0,4.25,12.2,3318.4,1.0,1.0,1.0,12807.37704918033,1,1,1,1,1,1,1,1,1,1,147.0,49,3.0,Old Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_this_is_a_brand_new_4_bed_room_apartment_in_sector_s_askari_0-53836170-21434-1.html,10.0,4.4,12.2,3318.4,1.0,1.0,1.0,13259.40212150434,1,1,1,0,1,0,0,0,0,1,117.0,49,3.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_this_is_a_brand_new_4_bedroom_apartment_in_sec_s_askari_10-53836162-21434-1.html,8.0,4.5,12.2,3318.4,0.0,1.0,0.0,13560.752169720348,1,1,1,1,1,1,1,0,1,0,88.0,7,3.0,Relatively New,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_this_is_a_brand_new_4_bedroom_apartment_in_sector_s_askari_10-53802328-21434-1.html,10.0,4.65,12.2,3318.4,1.0,1.0,1.0,14012.77724204436,1,1,1,1,1,1,1,0,1,1,168.0,33,6.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_13_marla_flat_for_sale_in_askari_10_lahore_in_only_rs_42000000-53724915-1011-1.html,1.0,4.2,13.0,3536.0,1.0,1.0,1.0,11877.828054298643,1,1,0,1,0,1,1,0,0,0,168.0,39,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_highly-desirable_13_marla_flat_available_in_askari_10-53724916-1011-1.html,1.0,4.23,13.0,3536.0,1.0,1.0,1.0,11962.66968325792,1,1,0,1,0,1,1,0,0,1,168.0,39,1.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_askari_10_10_marla_flat_is_available_for_sale-53724931-1011-1.html,1.0,3.85,10.0,2720.0,1.0,1.0,1.0,14154.411764705885,1,1,0,1,0,0,1,0,0,0,168.0,39,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_askari_10_flat_of_10_marla_is_available_for_sale-53724929-1011-1.html,1.0,3.8,10.0,2720.0,1.0,1.0,1.0,13970.588235294115,1,1,0,1,0,1,1,0,0,0,168.0,39,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_askari_10_10_marla_flat_in_askari_10_is_available_for_sale-53724930-1011-1.html,1.0,3.83,10.0,2720.0,1.0,1.0,1.0,14080.882352941177,1,1,0,1,0,0,1,0,0,0,168.0,39,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_reserve_a_flat_of_13_marla_now_in_askari_10-53724939-1011-1.html,1.0,4.3,13.0,3536.0,1.0,1.0,1.0,12160.633484162896,1,1,0,1,0,1,1,0,0,0,168.0,39,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_5_10_marla_flat_in_beautiful_location_of_askari_5_in_lahore-53724941-3559-1.html,1.0,2.8,10.0,2720.0,1.0,1.0,0.0,10294.117647058823,1,1,0,0,0,0,1,0,0,0,135.0,22,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_5_premium_10_marla_flat_is_available_for_sale_in_lahore-53724943-3559-1.html,1.0,2.85,10.0,2720.0,1.0,1.0,0.0,10477.941176470587,1,1,0,0,0,0,1,0,0,0,135.0,22,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_5_affordable_flat_for_sale_in_askari_5-53724945-3559-1.html,1.0,2.9,10.0,2720.0,1.0,1.0,0.0,10661.764705882351,1,1,0,0,0,0,1,0,0,0,135.0,22,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_5_book_a_10_marla_flat_in_askari_5-53724942-3559-1.html,1.0,2.83,10.0,2720.0,1.0,1.0,1.0,10404.411764705885,1,1,1,1,1,1,1,1,1,1,168.0,49,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_5_a_flat_of_10_marla_in_lahore-53724944-3559-1.html,1.0,2.88,10.0,2720.0,1.0,1.0,0.0,10588.235294117649,1,1,0,0,0,0,1,0,0,0,135.0,22,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_askari_10_get_your_dream_flat_in_askari_10_lahore-53724928-1011-1.html,1.0,3.78,10.0,2720.0,1.0,1.0,1.0,13897.058823529413,1,1,0,1,0,1,1,0,0,0,168.0,39,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_askari_10_spacious_10_marla_flat_available_for_sale_in_askari_10-53724927-1011-1.html,1.0,3.75,10.0,2720.0,1.0,1.0,1.0,13786.764705882351,1,1,0,1,0,1,1,0,0,0,168.0,39,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_reserve_a_flat_of_13_marla_now_in_askari_10-53724920-1011-1.html,1.0,4.3,13.0,3536.0,1.0,1.0,1.0,12160.633484162896,1,1,0,1,0,1,1,0,0,0,168.0,39,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_flat_of_13_marla_is_available_for_sale_in_askari_10-53724918-1011-1.html,1.0,4.28,13.0,3536.0,1.0,1.0,1.0,12104.072398190045,1,1,0,1,0,1,1,0,0,0,168.0,39,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_flat_of_13_marla_available_for_sale_in_askari_10-53724917-1011-1.html,1.0,4.25,13.0,3536.0,1.0,1.0,1.0,12019.23076923077,1,1,0,1,0,1,1,0,0,0,168.0,39,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_11_flat_available_in_askari_11_for_sale-53724933-1503-1.html,1.0,2.75,10.0,2720.0,1.0,1.0,1.0,10110.29411764706,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_11_ready_to_sale_a_flat_10_marla_in_askari_11_lahore-53724934-1503-1.html,1.0,2.78,10.0,2720.0,1.0,1.0,1.0,10220.588235294115,1,1,1,1,1,1,1,0,0,1,168.0,39,1.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_11_10_marla_flat_in_stunning_askari_11_is_available_for_sale-53724935-1503-1.html,1.0,2.85,10.0,2720.0,1.0,1.0,1.0,10477.941176470587,1,1,1,1,1,1,1,0,0,1,168.0,39,1.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_11_10_marla_flat_in_stunning_askari_11_is_available_for_sale-53724936-1503-1.html,1.0,2.83,10.0,2720.0,1.0,1.0,1.0,10404.411764705885,1,1,0,1,0,0,1,0,0,0,168.0,39,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_11_10_marla_flat_in_askari_11_is_available_for_sale-53724937-1503-1.html,1.0,2.8,10.0,2720.0,1.0,1.0,1.0,10294.117647058823,1,1,0,1,0,0,1,0,0,1,168.0,39,1.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_askari_10_brand_new_apartment_available_for_sale-53474627-21434-1.html,8.0,4.35,12.0,3264.0,1.0,1.0,1.0,13327.20588235294,1,1,1,1,1,1,1,1,1,1,147.0,49,3.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,4.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_army_housing_complex_13_14_marla_4_bed_flat_avaiable_for_sale_sec_s_askari_10_lhr_cantt-53749849-21434-1.html,5.0,4.75,13.1,3563.2,1.0,1.0,1.0,13330.713964975304,1,1,0,0,1,1,0,0,0,1,184.0,49,3.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_12_marla_brand_new_apartment_available_for_sale-53760498-1011-1.html,8.0,4.5,12.0,3264.0,0.0,1.0,0.0,13786.764705882351,0,0,0,0,0,0,0,0,0,0,17.0,0,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_12_marla_brand_new_apartment_available_for_sale-53760497-1011-1.html,8.0,4.55,12.0,3264.0,0.0,1.0,0.0,13939.950980392156,0,0,0,0,0,0,0,0,0,0,17.0,0,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_12_marla_brand_new_apartment_available_for_sale-53760466-1011-1.html,8.0,4.45,12.0,3264.0,0.0,1.0,0.0,13633.578431372547,0,0,0,0,0,0,0,0,0,0,17.0,0,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_12_marla_brand_new_apartment_available_for_sale-53760463-1011-1.html,8.0,4.4,12.0,3264.0,0.0,1.0,0.0,13480.392156862745,0,0,0,0,0,0,0,0,0,0,17.0,0,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_12_marla_brand_new_apartment_available_for_sale-53760462-1011-1.html,8.0,4.35,12.0,3264.0,0.0,1.0,0.0,13327.20588235294,0,0,0,0,0,0,0,0,0,0,17.0,0,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_12_marla_brand_new_apartment_available_for_sale-53760460-1011-1.html,8.0,4.3,12.0,3264.0,0.0,1.0,1.0,13174.019607843138,1,1,1,1,1,1,1,1,1,1,147.0,39,3.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_12_marla_brand_new_apartment_available_for_sale-53760432-1011-1.html,8.0,4.25,12.0,3264.0,0.0,1.0,0.0,13020.833333333334,0,0,0,0,0,0,0,0,0,0,17.0,0,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_12_marla_brand_new_apartment_available_for_sale-53760429-1011-1.html,8.0,4.2,12.0,3264.0,0.0,1.0,0.0,12867.64705882353,0,0,0,0,0,0,0,0,0,0,17.0,0,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_10_12_marla_brand_new_apartment_available_for_sale-53760428-1011-1.html,8.0,4.15,12.0,3264.0,0.0,1.0,0.0,12714.460784313726,0,0,0,0,0,0,0,0,0,0,17.0,0,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_f_army_housing_complex_3_bed_rooms_flat_for_sale_is_available_askari_10_-_sector_f_lahore_cantt-52959784-10542-1.html,8.0,3.35,10.0,2720.0,1.0,1.0,1.0,12316.176470588236,1,1,1,1,1,1,1,1,1,1,184.0,39,3.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_f_3_bed_10_marla_flat_for_sale_in_askari_10_sector_f_lahore-53115034-10542-1.html,8.0,3.8,10.0,2720.0,1.0,1.0,1.0,13970.588235294115,1,1,1,1,1,0,1,0,1,1,93.0,47,3.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_f_3_bed_flat_for_sale_in_askari_10_sector_f_lahore-53158887-10542-1.html,13.0,3.7,10.0,2720.0,1.0,1.0,1.0,13602.941176470587,1,1,1,1,1,1,1,1,1,1,184.0,49,7.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_f_10_marla_flat_for_sale_in_askari_10_sector_f_lahore-53158838-10542-1.html,8.0,3.45,10.0,2720.0,1.0,1.0,1.0,12683.823529411764,1,1,0,0,0,0,1,0,0,1,49.0,16,3.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_f_3_bed_10_marla_flat_for_sale_in_askari_10_sector_f_lahore-53158806-10542-1.html,8.0,3.75,10.0,2720.0,1.0,1.0,1.0,13786.764705882351,1,1,0,0,0,0,0,0,0,1,136.0,49,3.0,Relatively New,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_4_beds_open_view_top_floor_flat_for_sale_in_askari-11_sec-b-52519683-15703-1.html,7.0,3.2,12.0,3264.0,1.0,1.0,1.0,9803.921568627453,1,1,1,1,1,1,1,0,0,1,113.0,22,3.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_f_army_housing_complex_10_marla_apartment_available_for_sale_in_askari_10_-_sector_-f_lahore_cantt-53158781-10542-1.html,9.0,3.85,10.0,2720.0,1.0,1.0,1.0,14154.411764705885,1,1,1,1,1,1,1,1,1,1,152.0,49,3.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_1_apartment_for_sale_in_askari-1_lahore-53115122-3556-1.html,4.0,3.5,11.0,2992.0,1.0,1.0,1.0,11697.860962566843,1,1,1,1,1,1,1,0,0,1,150.0,49,3.0,Relatively New,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_army_housing_complex_new_flat_for_sale_available_askari_10_-_sector_-s_lahore_cantt-53115045-21434-1.html,8.0,4.5,12.0,3264.0,1.0,1.0,1.0,13786.764705882351,1,1,1,1,1,1,1,1,1,1,167.0,30,3.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_army_housing_compelx_4_bed_brand_new_flat_for_sale_askari_10_sector_s_lhr_cantt-53249850-21434-1.html,9.0,4.7,12.0,3264.0,1.0,1.0,1.0,14399.509803921568,1,1,1,1,1,1,0,0,0,1,184.0,39,3.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_for_sale_new_design_4th_floor_apartment_with_stunning_open_views_modern_living_awaits-53726633-15703-1.html,8.0,3.25,10.0,2720.0,1.0,1.0,1.0,11948.529411764706,1,1,1,1,1,1,1,1,1,1,184.0,49,3.0,Relatively New,31.465334,74.3801628
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_f_3_years_installment_plan_studio_apartment_available_for_sale_in_madina_mall_and_residency_bahria_town_lahore-53922219-3097-1.html,8.0,0.4211999999999999,1.4,380.8,0.0,1.0,0.0,11060.9243697479,1,1,1,1,1,1,1,1,1,1,173.0,49,3.0,New Property,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_b_sky_luxe_tower_book_your_dream_apartment_with_only_25_remaining_pay_in_2years_easy_installment_plan-53506631-1772-1.html,13.0,0.3001,1.8,489.6,2.0,1.0,2.0,6129.493464052288,1,1,1,1,1,1,1,1,1,1,180.0,49,7.0,New Property,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_one_bed_new_apartment_for_sale_in_sector_e_bahria_town_lahore-53306749-1802-1.html,7.0,0.65,2.2,598.4000000000001,0.0,1.0,0.0,10862.29946524064,0,0,0,0,0,0,0,0,0,0,87.0,37,3.0,New Property,31.358067,74.1824132
Bahria Town,1.0,2.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_f_residential_studio_apartment_available_at_lowest_price_at_bahria_town_in_madina_mall_and_residency_lahore-53859643-3097-1.html,8.0,0.4468999999999999,1.5,408.0,0.0,1.0,0.0,10953.43137254902,0,0,1,0,0,0,0,1,0,1,180.0,49,3.0,Undefined,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_midway_commercial_one_bed_apartment_available_for_sale_in_midway_commercial_bahria_town_lahore-53897135-21559-1.html,8.0,0.52,2.2,598.4000000000001,0.0,1.0,0.0,8689.839572192512,0,0,1,0,0,0,0,0,0,0,123.0,27,3.0,Undefined,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_brand_new_one_bed_apartment_for_sale-53868814-1802-1.html,6.0,0.75,2.3,625.5999999999999,0.0,1.0,0.0,11988.491048593352,1,0,1,0,1,1,0,1,1,0,179.0,33,3.0,New Property,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_fully_furnished_one_bed_ready_to_apartment_for_sale_in_sector_e_bahria_town_lahore-53861156-1802-1.html,8.0,0.67,2.4,652.8,3.0,1.0,0.0,10263.480392156864,1,1,1,1,1,1,1,1,1,0,174.0,39,3.0,New Property,31.358067,74.1824132
Bahria Town,2.0,2.0,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_rafi_block_2_bed_apartment_for_sale_in_rafi_block_bahria_town_lahore-53450069-1803-1.html,7.0,1.38,4.0,1088.0,0.0,1.0,0.0,12683.823529411762,0,1,1,1,0,0,1,1,0,1,161.0,31,4.0,New Property,31.358067,74.1824132
Bahria Town,0.0,1.0,https://www.zameen.com/Property/bahria_town_sector_f_bahria_town_-_tauheed_block_studio_apartment_320_sq_ft_bahria_town_lahore-53887512-11864-1.html,8.0,0.45,1.4,380.8,0.0,1.0,0.0,11817.226890756305,0,0,0,0,0,0,0,0,0,0,35.0,7,3.0,Undefined,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_sector_d_bahria_town_-_block_aa_one_bedroom_luxury_full_furnished_apartments_for_sale_in_aa_block_facing_canal_road_bahria_town_lahore-53899214-1797-1.html,7.0,0.75,2.7,734.4000000000001,0.0,1.0,0.0,10212.418300653591,1,1,1,1,1,1,1,1,1,1,167.0,49,3.0,New Property,31.358067,74.1824132
Bahria Town,2.0,2.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_ready_to_move_2_beds_apartment_available_on_one_year_installments_in_sector_e_bahria_town_lahore-53882786-1802-1.html,7.0,1.2,3.3,897.5999999999999,0.0,1.0,0.0,13368.983957219252,0,0,0,0,0,0,0,0,0,0,46.0,16,3.0,New Property,31.358067,74.1824132
Bahria Town,0.0,2.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_f_smart_investment_opportunity_in_modern_high_rise_own_a_studio_apartment_in_madina_mall_and_residence_bahria_town_lahore-53922232-3097-1.html,8.0,0.4468999999999999,1.5,408.0,0.0,1.0,0.0,10953.43137254902,0,0,0,0,0,0,0,0,0,0,147.0,39,3.0,Undefined,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_c_one_bed_luxurious_furnished_apartment_for_sale_at_hot_location_of_bahria_town-53935678-1784-1.html,8.0,0.75,2.2,598.4000000000001,0.0,1.0,0.0,12533.422459893049,1,1,1,1,0,0,0,1,0,1,185.0,49,1.0,New Property,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_c_390_square_feet_flat_in_bahria_town_-_sector_c-53760688-1784-1.html,8.0,0.5,1.7,462.4,1.0,1.0,1.0,10813.148788927336,1,1,1,1,1,1,1,1,1,1,173.0,39,5.0,New Property,31.358067,74.1824132
Bahria Town,3.0,4.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_3_bedroom_apartmant_for_sale_on_easy_installments_plan_in_bahria_town-53760685-1802-1.html,11.0,2.4,6.7,1822.4,1.0,3.0,1.0,13169.446883230905,1,1,1,1,1,1,1,0,1,1,150.0,24,5.0,New Property,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_1_bedroom_apartment_for_sale_on_easy_installments_plan_in_sector_e-53760686-1802-1.html,11.0,0.62,1.6,435.2000000000001,1.0,1.0,1.0,14246.323529411764,0,0,1,1,0,0,0,0,0,1,142.0,24,5.0,New Property,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_1_bedroom_apartment_for_sale_on_easy_installment_plan_in_bahria_town_lahore-53760687-1802-1.html,11.0,0.8,1.8,489.6,0.0,1.0,1.0,16339.86928104575,1,1,1,1,0,0,0,0,0,1,161.0,43,5.0,New Property,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_f_one_bed_apartment_available_on_easy_installments_in_bahria_town_invest_smart_in_madina_mall_and_residency_today-53922107-3097-1.html,7.0,0.6804000000000001,2.2,598.4000000000001,0.0,1.0,0.0,11370.320855614971,0,1,1,1,1,1,0,1,1,0,153.0,39,3.0,Undefined,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_f_1_bed_luxury_apartment_available_for_sale_on_installments_in_madina_mall_and_residence_bahria_town_lahore-53922103-3097-1.html,7.0,0.7020000000000001,2.3,625.5999999999999,0.0,1.0,0.0,11221.227621483378,0,0,1,1,0,0,0,1,1,0,144.0,39,3.0,Undefined,31.358067,74.1824132
Bahria Town,2.0,2.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_f_affordable_2_bed_apartment_on_easy_1_monthly_installments_in_madina_mall_and_residency_bahria_town_lahore-53881811-3097-1.html,7.0,1.47,4.2,1142.4,0.0,1.0,0.0,12867.647058823528,0,1,1,0,0,0,0,1,0,0,146.0,39,3.0,Undefined,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_f_best_roi_studio_apartment_available_for_sale_in_bahria_town_lahore_madina_mall_and_residency-53959121-3097-1.html,8.0,0.45,1.5,408.0,0.0,1.0,0.0,11029.411764705885,0,0,0,0,0,0,0,0,0,0,26.0,2,3.0,Undefined,31.358067,74.1824132
Bahria Town,2.0,2.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_f_secure_property_investment_with_high_rental_potential_in_bahria_town_lahore_on_1_bed_apartment-53959113-3097-1.html,8.0,0.7974,2.3,625.5999999999999,0.0,1.0,0.0,12746.163682864451,0,0,0,0,0,0,0,0,0,0,19.0,0,3.0,Undefined,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_1_bedroom_apartment_on_easy_installment_plan_for_sale_in_sector_e_bahria_town_lahore-53972565-1802-1.html,8.0,0.7,2.0,544.0,0.0,1.0,0.0,12867.64705882353,0,0,1,1,0,0,0,0,0,1,107.0,18,5.0,New Property,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_1_bedroom_apartment_on_easy_installment_plan_for_sale_in_sector_e_bahria_town_lahore-53972466-1802-1.html,8.0,0.64,2.0,544.0,1.0,1.0,0.0,11764.70588235294,1,0,1,1,0,0,0,0,0,1,113.0,18,5.0,New Property,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_c_1_bedroom_apartment_on_easy_installment_plan_for_sale_in_sector_c_bahria_town_lahore-53972425-1784-1.html,8.0,0.52,1.8,489.6,0.0,1.0,0.0,10620.91503267974,0,0,1,1,0,0,0,0,0,1,119.0,24,5.0,Relatively New,31.358067,74.1824132
Bahria Town,1.0,1.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_b_with_25_down_payment_get_your_fully_furnished_one_bed_apartment_in_sky_luxe_tower_with_10_discount-52664178-1772-1.html,8.0,0.27,2.0,544.0,1.0,2.0,1.0,4963.235294117647,1,1,1,1,1,1,1,1,1,1,185.0,49,2.0,New Property,31.358067,74.1824132
Bahria Town,2.0,2.0,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_b_2_bed_ready_to_move_apartment_available_for_sale_in_bahria_town_lahore-53848198-1772-1.html,8.0,1.15,4.4,1196.8000000000002,0.0,1.0,0.0,9608.957219251335,0,0,1,0,0,0,0,0,0,0,124.0,16,3.0,Undefined,31.358067,74.1824132
