,marla,area_sqft,floor_number,total_floors,bedrooms,bathrooms,kitchens,servant_quarters,store_rooms,society,luxury_score,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,price_per_sqft,price,agePossession
1727,2.1,571.725,7.0,18.0,1.0,3.0,1.0,1.0,,DHA Defence,140,1,1,1,1,1,1,1,1,1,1,42677.86085967904,2.44,Under construction
1734,2.0,544.5,,18.0,2.0,2.0,1.0,,,DHA Defence,52,1,1,0,0,1,1,1,0,0,1,35812.67217630854,1.95,New Property
1735,2.8,762.3,7.0,18.0,,,,,,DHA Defence,133,1,1,1,1,1,1,1,1,1,1,34107.30683457956,2.6,Relatively New
1740,4.4,1197.9,,,1.0,1.0,1.0,1.0,1.0,DHA Defence,126,1,1,1,1,1,1,1,1,1,1,41990.149428165954,5.03,Under construction
1741,2.0,544.5,,,2.0,2.0,1.0,2.0,1.0,DHA Defence,137,1,1,1,1,1,1,1,1,1,1,35996.326905417816,1.96,Under construction
1742,2.4,653.4,,,5.0,6.0,1.0,,1.0,DHA Defence,121,1,1,1,1,1,1,1,1,1,1,38108.35629017447,2.49,Under construction
1743,2.4,653.4,,,4.0,,,1.0,1.0,DHA Defence,133,1,1,1,1,1,1,1,1,1,1,38108.35629017447,2.49,Under construction
1752,2.1,571.725,,,1.0,1.0,1.0,1.0,1.0,DHA Defence,136,1,1,1,1,1,1,1,1,1,1,39179.6755433119,2.24,Under construction
1753,2.3,626.175,,,7.0,7.0,3.0,1.0,1.0,DHA Defence,110,1,1,1,0,1,1,1,1,1,1,39765.24134626902,2.49,Under construction
1754,0.6,163.35,,,6.0,6.0,2.0,1.0,1.0,DHA Defence,140,1,1,1,1,1,1,1,1,1,1,116314.66176920725,1.9,Under construction
1771,2.3,626.175,,,8.0,9.0,2.0,1.0,1.0,DHA Defence,137,1,1,1,1,1,1,1,1,1,1,35133.94817742644,2.2,New Property
1795,2.0,544.5,,30.0,3.0,4.0,,,1.0,DHA Defence,133,1,1,1,1,1,1,1,1,1,1,34894.39853076217,1.9,Under construction
1799,2.0,544.5,7.0,9.0,3.0,4.0,1.0,1.0,1.0,DHA Defence,140,1,1,1,1,1,1,1,1,1,1,40404.0404040404,2.2,New Property
1807,7.4,2014.65,10.0,20.0,3.0,3.0,1.0,,,DHA Defence,137,1,1,1,1,1,1,1,1,1,0,36234.58168912714,7.3,Relatively New
1808,9.8,2668.05,12.0,,1.0,1.0,3.0,2.0,1.0,DHA Defence,112,1,1,1,1,1,1,1,1,1,0,35419.12632821724,9.45,Under construction
1811,2.3,626.175,23.0,37.0,2.0,2.0,1.0,,,DHA Defence,140,1,1,1,1,1,1,1,1,1,0,38327.94346628339,2.4,Under construction
1814,4.3,1170.675,,,1.0,1.0,1.0,1.0,1.0,DHA Defence,60,0,1,0,0,0,0,0,0,0,0,36303.84180067056,4.25,Undefined
1817,2.4,653.4,35.0,35.0,3.0,4.0,1.0,1.0,1.0,DHA Defence,130,1,1,1,1,1,1,1,1,1,0,38108.35629017447,2.49,Under construction
1823,2.0,544.5,5.0,9.0,2.0,2.0,1.0,2.0,2.0,DHA Defence,133,1,1,1,1,1,1,1,1,1,1,40404.0404040404,2.2,New Property
1832,2.0,544.5,1.0,14.0,1.0,1.0,1.0,1.0,1.0,DHA Defence,140,1,1,1,1,1,1,1,1,1,1,38567.49311294766,2.1,New Property
1842,2.0,544.5,,18.0,3.0,3.0,1.0,1.0,1.0,DHA Defence,119,1,1,1,1,1,1,1,1,1,1,34894.39853076217,1.9,New Property
1992,2.8,762.3,,,1.0,1.0,1.0,1.0,1.0,Main Canal Bank Road,121,1,1,1,1,1,1,1,1,1,1,35287.94437885347,2.69,Under construction
1997,2.8,762.3,,,1.0,1.0,1.0,1.0,1.0,Main Canal Bank Road,126,1,1,1,1,1,1,1,1,1,1,34107.30683457956,2.6,Under construction
2119,2.4,653.4,,,,1.0,,,,Land Breeze Housing Society,100,1,1,1,1,1,1,1,1,1,1,36883.99142944597,2.41,Undefined
2298,2.8,762.3,,,2.0,2.0,1.0,1.0,1.0,Shadman 2,140,1,1,1,1,1,1,1,1,1,1,35419.12632821724,2.7,Under construction
2302,2.8,762.3,,,1.0,1.0,1.0,1.0,1.0,Shadman 2,140,1,1,1,1,1,1,1,1,1,1,34107.30683457956,2.6,Under construction
2304,2.8,762.3,,11.0,2.0,2.0,1.0,1.0,1.0,Shadman,55,0,0,0,0,0,0,0,0,0,1,37911.58336612882,2.89,Under construction
