bedrooms,baths,price,area_sqft,kitchens,store_rooms,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,luxury_score,furnishing_score,floors,agePossession,property_type,has_servant_room
3.0,3.0,3.9,2720.0,1.0,1.0,1,1,1,1,1,1,0,1,1,1,172.0,43,1.0,Undefined,0,1
4.0,5.0,4.52,3264.0,1.0,1.0,1,1,1,1,1,1,1,0,0,1,147.0,39,7.0,New Property,0,1
3.0,4.0,3.85,2964.8,1.0,1.0,1,1,1,0,1,1,0,0,1,1,158.0,49,7.0,New Property,0,1
4.0,5.0,4.7,3318.4,1.0,1.0,1,1,0,0,1,1,0,0,0,1,144.0,33,3.0,New Property,0,1
4.0,5.0,4.65,3318.4,1.0,1.0,1,1,0,0,1,1,0,0,0,1,150.0,31,3.0,New Property,0,1
4.0,5.0,4.7,3318.4,1.0,1.0,1,1,1,1,1,1,1,1,1,1,179.0,49,3.0,New Property,0,1
3.0,3.0,2.9,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,5.0,Relatively New,0,1
3.0,3.0,4.25,2720.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,31.0,16,3.0,Undefined,0,0
4.0,3.0,3.35,3264.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,171.0,49,3.0,New Property,0,1
3.0,4.0,4.1,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,158.0,37,2.0,Undefined,0,1
3.0,4.0,4.25,2720.0,1.0,1.0,1,1,0,1,0,0,1,0,0,0,168.0,39,1.0,New Property,0,1
4.0,5.0,4.6,3536.0,1.0,1.0,1,1,1,1,0,0,1,0,1,0,94.0,18,1.0,New Property,0,1
3.0,3.0,2.85,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,184.0,39,3.0,Relatively New,0,1
3.0,4.0,3.6,2720.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,124.0,9,3.0,Undefined,0,0
3.0,3.0,2.55,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,New Property,0,1
