Property ID,Name,Price,Marla,Area (sqft),Bedrooms,Baths,Floor Number,Total Floors,Built Year,Address,Rooms,Other Rooms,Link
51968769,"2 BHK Lahore Villas, Lahore, Punjab",PKR 75 Lakh,5,1125,2,2,Not listed,2,2024,"Lahore Villas, Lahore, Punjab","{'Bedrooms': '2', 'Bathrooms': '2', 'Servant Quarters': '2', 'Kitchens': '1', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/lahore_lahore_villas_2_bed_room_apartment_is_for_sale-51968769-12049-1.html
52983224,"1 BHK Lahore Villas, Lahore, Punjab",PKR 1.04 Crore,2.8,630,1,1,Not listed,Not listed,,"Lahore Villas, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Kitchens': '1'}","Prayer Room, Powder Room, Gym, Steam Room",https://www.zameen.com/Property/lahore_lahore_villas_book_your_1_bed_beautiful_apartment_is_available_on_3_year_easy_instalment_plan-52983224-12049-1.html
52646282,"2 BHK Lahore Villas, Lahore, Punjab",PKR 95 Lakh,5,1125,2,2,Not listed,Not listed,Built in year,"Lahore Villas, Lahore, Punjab","{'Bedrooms': '2', 'Bathrooms': '2', 'Kitchens': '1'}","Dining Room, Other Rooms",https://www.zameen.com/Property/lahore_lahore_villas_brand_new_5_marla_fully_furnished_apartment_for_sale_in_icon_homes_lahore_villas-52646282-12049-1.html
52648431,"2 BHK Lahore Villas, Lahore, Punjab",PKR 75 Lakh,5,1125,2,2,Not listed,Not listed,Built in year,"Lahore Villas, Lahore, Punjab","{'Bedrooms': '2', 'Bathrooms': '2', 'Servant Quarters': '1', 'Kitchens': '1', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/lahore_lahore_villas_ground_floor_5_marla_brand_new_apartment_for_sale_icon_homes_lahore_villas-52648431-12049-1.html
52855746,"2 BHK Lahore Villas, Lahore, Punjab",PKR 75 Lakh,4.5,1012.5,2,2,2,2,22025,"Lahore Villas, Lahore, Punjab","{'Bedrooms': '2', 'Bathrooms': '3', 'Servant Quarters': '1', 'Kitchens': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room",https://www.zameen.com/Property/lahore_lahore_villas_brand_new_2_bhk_apartment_available_for_sale_icon_home_apartments_-_lahore_villas-52855746-12049-1.html
52273207,"2 BHK Lahore Villas, Lahore, Punjab",PKR 80 Lakh,5,1125,2,2,Not listed,Not listed,,"Lahore Villas, Lahore, Punjab",{},,https://www.zameen.com/Property/lahore_lahore_villas_5_marla_apartment_for_sale_in_lahore_villas_raiwind_road_near_fazaia_housing_scheme_lahore-52273207-12049-1.html
52607820,"1 BHK New Lahore City - Phase 2, New Lahore City, Lahore, Punjab",PKR 42 Lakh,2,450,1,1,2,2,Built in year,"New Lahore City - Phase 2, New Lahore City, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Servant Quarters': '1', 'Kitchens': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/new_lahore_city_new_lahore_city_-_phase_2_1_bedroom_apartment_for_sale_-_park_facing_amp_corner_unit_ready_to_move_in_-_phase_2_new_lahore_city-52607820-15750-1.html
52828035,"1 BHK New Lahore City - Phase 2, New Lahore City, Lahore, Punjab",PKR 57.5 Lakh,1.8,405,1,1,Not listed,7,2024,"New Lahore City - Phase 2, New Lahore City, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Kitchens': '1', 'Store Rooms': '1'}","Drawing Room, Dining Room, Lounge or Sitting Room, Laundry Room",https://www.zameen.com/Property/new_lahore_city_new_lahore_city_-_phase_2_1_bed_room_on_easy_instalments_-_410_sq_ft_apartment_-_ready_to_move_-_facing_park_-_facing_mosque_phase-52828035-15750-1.html
52827857,"1 BHK New Lahore City - Phase 2, New Lahore City, Lahore, Punjab",PKR 57.4 Lakh,1.8,405,1,1,Not listed,7,2024,"New Lahore City - Phase 2, New Lahore City, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Kitchens': '1', 'Store Rooms': '1'}","Drawing Room, Dining Room, Lounge or Sitting Room, Laundry Room",https://www.zameen.com/Property/new_lahore_city_new_lahore_city_-_phase_2_1_bed_room_on_easy_instalments_-_410_sq_ft_apartment_-_ready_to_move_-_facing_park_-_facing_mosque_phase-52827857-15750-1.html
52828132,"2 BHK New Lahore City - Block B, New Lahore City - Phase 2, New Lahore City, Lahore, Punjab",PKR 1.3 Crore,4,900,2,2,Not listed,Not listed,,"New Lahore City - Block B, New Lahore City - Phase 2, New Lahore City, Lahore, Punjab","{'Bedrooms': '2', 'Bathrooms': '2', 'Kitchens': '1', 'Store Rooms': '1'}","Drawing Room, Prayer Room, Lounge or Sitting Room, Other Rooms",https://www.zameen.com/Property/new_lahore_city_phase_2_new_lahore_city_-_block_b_facing_park_flat_sized_900_square_feet_is_available_for_sale_in_new_lahore_city_-_block_b-52828132-13245-1.html
52828131,"1 BHK New Lahore City - Block B, New Lahore City - Phase 2, New Lahore City, Lahore, Punjab",PKR 59.45 Lakh,1.8,405,1,1,Not listed,Not listed,,"New Lahore City - Block B, New Lahore City - Phase 2, New Lahore City, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Kitchens': '1', 'Store Rooms': '1'}","Drawing Room, Prayer Room, Lounge or Sitting Room, Other Rooms",https://www.zameen.com/Property/new_lahore_city_phase_2_new_lahore_city_-_block_b_facing_park_410_square_feet_flat_in_new_lahore_city_-_block_b_is_best_option-52828131-13245-1.html
52186633,"2 BHK Park Avenue Housing Scheme, Lahore, Punjab",PKR 74.4 Lakh,4.5,1012.5,2,2,Not listed,Not listed,,"Park Avenue Housing Scheme, Lahore, Punjab",{},,https://www.zameen.com/Property/lahore_park_avenue_housing_scheme_park_avenue_homes-52186633-10934-1.html
51289095,"2 BHK Park Avenue Housing Scheme, Lahore, Punjab",PKR 72.9 Lakh,4.5,1012.5,2,2,Not listed,Not listed,2023,"Park Avenue Housing Scheme, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Servant Quarters': '1', 'Kitchens': '1', 'Store Rooms': '2'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/lahore_park_avenue_housing_scheme_1007_square_feet_beautiful_flat-51289095-10934-1.html
52151305,"2 BHK Park Avenue Housing Scheme, Lahore, Punjab",PKR 74.4 Lakh,4.5,1012.5,2,2,2,3,2025,"Park Avenue Housing Scheme, Lahore, Punjab",{},"Bedrooms, Bathrooms, Servant Quarters, Drawing Room, Dining Room, Kitchens, Store Rooms, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/lahore_park_avenue_housing_scheme_1007_square_feet_apartment_is_available_for_sale_in_park_avenue_housing_scheme_lahore-52151305-10934-1.html
52151282,#NAME?,PKR 91.4 Lakh,4.5,1012.5,-,-,Not listed,Not listed,,"Park Avenue Housing Scheme, Lahore, Punjab",{},,https://www.zameen.com/Property/lahore_park_avenue_housing_scheme_1007_square_feet_apartment_is_available_for_sale_in_park_avenue_housing_scheme_lahore-52151282-10934-1.html
52151297,#NAME?,PKR 82.4 Lakh,4.5,1012.5,-,-,Not listed,Not listed,,"Park Avenue Housing Scheme, Lahore, Punjab",{},,https://www.zameen.com/Property/lahore_park_avenue_housing_scheme_1007_square_feet_apartment_is_available_for_sale_in_park_avenue_housing_scheme_lahore-52151297-10934-1.html
52940977,"1 BHK Izmir Town, Lahore, Punjab",PKR 40 Lakh,1.8,405,1,1,3,5,2024,"Izmir Town, Lahore, Punjab","{'Bedrooms': '1', 'Bathrooms': '1', 'Servant Quarters': '1', 'Kitchens': '1', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/lahore_izmir_town_prime_location_405_square_feet_flat_in_only_rs_4000000-52940977-483-1.html
52931758,"1 BHK Izmir Town, Lahore, Punjab",PKR 68 Lakh,1.8,405,1,1,Not listed,Not listed,2025,"Izmir Town, Lahore, Punjab",{},,https://www.zameen.com/Property/lahore_izmir_town_1_bed_luxury_apartment_for_sale_fresh_brand_new-52931758-483-1.html
